distribution,method,n_query,p1,p5,median,p95,p99,max
training_only_to_training_only_excluding_self,sklearn,483554,0.0015549434081185607,0.003892135340720415,0.12224770337343216,1.0056780457496641,1.110446557998657,1.3473948240280151
parent_to_new_training_only,sklearn,16446,0.038973575271666054,0.08047462813556194,0.5466833710670471,1.0925701558589935,1.1736383616924284,1.3494067192077637
validation_to_v9_parent_train,sklearn,1977,0.0,0.14159666895866393,1.0168536901474,1.5131778478622435,1.6173696756362916,1.8199361562728882
validation_to_v11_full_train,sklearn,1977,0.0,0.05865402892231941,0.7254406213760376,1.1095560789108276,1.1722032880783082,1.3242603540420532
blind_to_v9_parent_train,sklearn,2370,0.13672201991081237,0.24514900594949723,1.0163602828979492,1.4708006501197814,1.5823102355003358,1.806520700454712
blind_to_v11_full_train,sklearn,2370,0.06757959388196469,0.12268012613058091,0.6232757270336151,1.0497962892055512,1.1435535407066344,1.2366487979888916
stress_to_v9_parent_train,sklearn,3097,0.2085463809967041,0.49323295354843144,1.1400492191314697,1.5205440044403076,1.6263851404190062,1.769875168800354
stress_to_v11_full_train,sklearn,3097,0.07199150800704956,0.20003466308116913,0.6154933571815491,1.0975597381591797,1.1762369728088378,1.3494067192077637
