sweep_label,n,median_weighted_error,p95_weighted_error,median_nn_distance_12d,p95_nn_distance_12d,coverage_limited_failures,dense_failures
coupled_full_random,5640,0.03399648889899254,0.08419367223978044,0.9145761728286743,1.2083552420139312,585,65
coupled_sparse_random,18,0.023229379206895828,0.08750935010612011,0.7655712962150574,0.8364389628171921,0,3
