label,title,training_rows_k,candidate_id,weighted_score,true_hard_target_normalized_mae,overall_normalized_mae,blind_normalized_mae,stress_normalized_mae,S3_high_magnitude_mae_normalized,C1_normalized_mae,C3_normalized_mae,A1_x_normalized_mae,A1_y_normalized_mae,B2_x_normalized_mae,B2_y_normalized_mae,A2_x_normalized_mae,A2_y_normalized_mae,S3_x_normalized_mae,S3_y_normalized_mae,A3_x_normalized_mae,A3_y_normalized_mae
25K,v3 25K,25,D66_grouped_width320_lr6e-4_dropout0.075_targeted25k_plateau_clip_smoothl1_seed11,0.05608324462189698,0.02742581143975258,0.02049979194998741,0.01502126082777977,0.015352517366409302,0.09685861587524414,0.010432706214487553,0.0038907998241484165,0.0069970726035535336,0.006865558680146933,0.009299568831920624,0.009204746223986149,0.0039880769327282906,0.003991504665464163,0.010544177144765854,0.010408568195998669,0.006180026102811098,0.006103078834712505
60K,v5 60K,60,D66_grouped_width320_lr6e-4_dropout0.075_s3tail60k_plateau_clip_smoothl1_seed23,0.05101536841489948,0.02581103891134262,0.018998555839061737,0.01408402156084776,0.013408735394477844,0.08201061248779297,0.008062523789703846,0.003146043047308922,0.005838724318891764,0.005757291801273823,0.007260443642735481,0.007191522512584925,0.002949072513729334,0.002933966461569071,0.009688112884759903,0.00975700095295906,0.004921452142298222,0.004844834562391043
100K,v6 100K,100,D66_grouped_width320_lr6e-4_dropout0.075_v6gap100k_seed23,0.03689948415347876,0.018496652878820897,0.013937150128185749,0.010852726176381111,0.010182945057749748,0.06273777484893799,0.00876526813954115,0.0031640888191759586,0.006330176256597042,0.0062358626164495945,0.007640115451067686,0.007561200764030218,0.0033875806257128716,0.003402675036340952,0.010712286457419395,0.010625810362398624,0.0055573140271008015,0.00550835533067584
250K,v9 250K,250,D66_grouped_width320_lr6e-4_dropout0.075_v9gap250k_d66_seed23,0.030511203085860382,0.015365738421678543,0.01186219323426485,0.00968953687697649,0.008716583251953125,0.04728827476501465,0.00811894703656435,0.0026562735438346863,0.005909651052206755,0.005694886203855276,0.007069110404700041,0.00692245876416564,0.002770670922473073,0.002798504661768675,0.010194183327257633,0.010003848001360893,0.005028069484978914,0.0049733612686395645
500K,v11 500K,500,D66_grouped_width320_lr6e-4_dropout0.075_v11gap500k_d66_seed7,0.026185246058739724,0.013717182539403438,0.010558954440057278,0.008859015069901943,0.007606793660670519,0.04093108654022217,0.006533181760460138,0.0021697983611375093,0.0050944010727107525,0.005034937523305416,0.005894210189580917,0.00589500367641449,0.0021062036976218224,0.002127478364855051,0.009467421099543571,0.009386053308844566,0.004659429658204317,0.00465412437915802
500K + benchmark-v2,v12 500K + benchmark-v2,575,D66_grouped_width320_lr6e-4_dropout0.075_v12benchmarkv2_500k_seed7,0.013415860509301932,0.007171222195029259,0.005470273084938526,0.006011495366692543,0.0062321266159415245,0.009485458135604858,0.006577532738447189,0.002120313234627247,0.00517806364223361,0.005143375135958195,0.006049470975995064,0.005972579587250948,0.0021830995101481676,0.002207644982263446,0.009571514092385769,0.009568524546921253,0.004772515967488289,0.004818501882255077
