relative_angle_A3_S3_category,n,median_weighted_error,p95_weighted_error,median_nn_distance_12d,p95_nn_distance_12d,coverage_limited_failures,dense_failures,angle_pair
aligned_or_anti_aligned,1754,0.03122048359364271,0.08036328330636022,0.8978715538978577,1.087037354707718,53,21,A3_S3
anti_aligned,1212,0.03138587065041065,0.07914159148931504,0.8901825249195099,1.073604130744934,37,10,A3_S3
oblique,942,0.029539769515395164,0.10217572934925537,0.7876407504081726,1.1305791079998015,70,16,A3_S3
orthogonal,892,0.06388125196099281,0.08586396016180516,0.9592976570129395,1.1446011543273924,187,3,A3_S3
,239,0.027374835684895515,0.09434499368071551,0.7743443846702576,1.102258014678955,17,4,B2_S3
,262,0.031387994065880775,0.08538686595857144,0.808378130197525,1.1149604856967925,29,3,B2_S3
,3094,0.03430728800594807,0.08607298098504543,0.8953051269054413,1.110812395811081,263,31,B2_S3
,1205,0.02974786050617695,0.08032003492116928,0.8735370635986328,1.0863866567611693,38,12,B2_S3
