active_probe_id,proposal_mode,sweep_label,sampling_relative_angle_bin,nn_distance_12d,overall_abs_error,weighted_abs_error,failure_class,C1_abs_error,C3_abs_error,A1_vector_error,B2_vector_error,A2_vector_error,S3_vector_error,A3_vector_error,true_S3_amp,true_A3_amp,true_B2_amp,relative_angle_A3_S3,relative_angle_B2_S3,relative_angle_A3_S3_category,relative_angle_B2_S3_category
active_probe_00560,genetic_algorithm,coupled_full_random,A1_S3:aligned_or_anti_aligned;B2_S3:aligned_or_anti_aligned;A3_S3:oblique,1.1265913248062134,24.287002563476562,0.35760223865509033,coverage_limited_sparse_failure,7.506507873535156,0.026363033801317215,43.639976501464844,0.9701792001724243,0.4333692193031311,80.98835754394531,93.22309112548828,100.0,95.60649871826172,2.980355739593506,-124.79919849530484,19.156341867042954,oblique,aligned_or_anti_aligned
active_probe_00920,genetic_algorithm,coupled_full_random,A1_S3:oblique;B2_S3:oblique;A3_S3:aligned_or_anti_aligned,0.7934139370918274,17.611055374145508,0.25790920853614807,dense_model_feature_loss_failure,29.112258911132812,0.10929608345031738,21.841737747192383,0.9061376452445984,1.433109164237976,84.67373657226562,26.706159591674805,94.773681640625,100.0,2.823045015335083,16.978934482095042,35.25112404240397,aligned_or_anti_aligned,oblique
active_probe_04770,high_amp_bridge,coupled_full_random,A1_S3:oblique;B2_S3:oblique;A3_S3:aligned_or_anti_aligned,1.0871423482894897,15.978988647460938,0.24339619278907776,coverage_limited_sparse_failure,6.1728668212890625,0.02970043569803238,34.23153305053711,0.8127058148384094,0.29958775639533997,56.53680419921875,45.13214874267578,93.11906433105469,91.0547103881836,2.6418638229370117,15.419542624640258,47.957629424975096,aligned_or_anti_aligned,oblique
active_probe_01518,genetic_algorithm,coupled_full_random,A1_S3:oblique;B2_S3:anti_aligned;A3_S3:oblique,0.9399288892745972,16.696401596069336,0.2417980134487152,mixed_failure,16.6644287109375,0.019615191966295242,21.748064041137695,0.38333961367607117,0.691787600517273,35.65169906616211,82.25863647460938,100.0,100.0,2.8000996112823486,154.0570579145708,-164.65770936448484,oblique,anti_aligned
active_probe_04353,genetic_algorithm,coupled_full_random,A1_S3:aligned_or_anti_aligned;B2_S3:aligned_or_anti_aligned;A3_S3:orthogonal,1.0967210531234741,13.388656616210938,0.1971825212240219,coverage_limited_sparse_failure,19.77147674560547,0.06383703649044037,25.321680068969727,0.43510881066322327,0.8430395722389221,47.18095397949219,28.28272247314453,99.59169006347656,96.02503967285156,3.0,69.76040883007352,11.064027821400487,orthogonal,aligned_or_anti_aligned
active_probe_02997,genetic_algorithm,coupled_full_random,A1_S3:oblique;B2_S3:oblique;A3_S3:orthogonal,1.1349892616271973,12.1170072555542,0.19324302673339844,coverage_limited_sparse_failure,41.47270965576172,0.10189628601074219,16.93506622314453,1.0708246231079102,2.396557331085205,34.472347259521484,32.0361442565918,94.80387115478516,97.29354858398438,3.0,-108.28301557073053,-155.71902710627322,orthogonal,oblique
active_probe_03955,high_amp_bridge,coupled_full_random,A1_S3:orthogonal;B2_S3:oblique;A3_S3:aligned_or_anti_aligned,0.7652485966682434,13.49846363067627,0.19206160306930542,dense_model_feature_loss_failure,13.595634460449219,0.0833749771118164,33.04387664794922,0.2441428154706955,0.3368868827819824,63.988014221191406,17.75644874572754,92.71237182617188,97.48651123046875,2.9288783073425293,2.3318673358902515,125.06482910359193,aligned_or_anti_aligned,oblique
active_probe_01788,high_amp_alignment,coupled_full_random,A1_S3:orthogonal;B2_S3:oblique;A3_S3:aligned_or_anti_aligned,1.021682858467102,13.028553009033203,0.1889340728521347,coverage_limited_sparse_failure,7.575721740722656,0.052457794547080994,31.113168716430664,0.2211797833442688,0.547136664390564,53.04636001586914,46.36923599243164,99.8419418334961,99.70087432861328,2.682020664215088,-9.926448275441544,52.63027590836708,aligned_or_anti_aligned,oblique
active_probe_01398,residual_jitter,coupled_full_random,A1_S3:aligned_or_anti_aligned;B2_S3:orthogonal;A3_S3:oblique,0.8170869946479797,14.008338928222656,0.18617969751358032,dense_model_feature_loss_failure,1.4355621337890625,0.002416849136352539,16.415193557739258,0.12383165955543518,0.34633806347846985,108.07600402832031,2.1094961166381836,96.64801788330078,73.2975845336914,3.0,138.6970572896438,106.97709723528487,oblique,orthogonal
active_probe_00661,genetic_algorithm,coupled_full_random,A1_S3:aligned_or_anti_aligned;B2_S3:orthogonal;A3_S3:oblique,1.172520399093628,12.428496360778809,0.18183301389217377,coverage_limited_sparse_failure,17.020233154296875,0.055226314812898636,19.540788650512695,0.4257367253303528,0.2583198547363281,42.096981048583984,49.809303283691406,94.15460968017578,96.43110656738281,3.0,-140.26006570333675,-110.5460343612574,oblique,orthogonal
