name,mean,std,min,max,p01,p99,near_constant
C1,-0.0023201163858175278,39.06645202636719,-99.99930572509766,99.99996185302734,-95.71589660644531,95.75811767578125,False
C3,0.5005658864974976,0.6458937525749207,0.0,2.0,0.0,1.9604359865188599,False
A1_x,0.008162504062056541,17.363298416137695,-60.0,60.0,-50.47273635864258,50.510536193847656,False
A1_y,-0.0006510295788757503,17.37598419189453,-60.0,60.0,-50.43742752075195,50.407745361328125,False
B2_x,0.001841305405832827,0.8717629909515381,-3.0,3.0,-2.5275769233703613,2.5291900634765625,False
B2_y,4.628877832146827e-07,0.8712193965911865,-3.0,3.0,-2.5237843990325928,2.5270373821258545,False
A2_x,0.0014784649247303605,4.0070013999938965,-16.0,16.0,-12.957984924316406,12.916996002197266,False
A2_y,-0.0004088721761945635,4.014458179473877,-16.0,16.0,-12.94244384765625,12.922017097473145,False
S3_x,-0.0456191785633564,46.289058685302734,-100.0,100.0,-92.57288360595703,92.53627014160156,False
S3_y,0.025947321206331253,46.29127502441406,-100.0,100.0,-92.54077911376953,92.6902847290039,False
A3_x,-0.011603684164583683,28.264822006225586,-100.0,100.0,-83.5879898071289,83.59310913085938,False
A3_y,0.03958874195814133,28.296070098876953,-100.0,100.0,-83.6214599609375,83.52861022949219,False
