epoch,train_loss,validation_loss,train_s3_magnitude_loss,train_total_objective_loss,learning_rate
1,1.7586331367492676,1.9720927476882935,0.0,0.9093155860900879,0.0006
25,0.7348024845123291,0.927703857421875,0.0,0.4711994528770447,0.0006
50,0.2859109938144684,0.40903007984161377,0.0,0.2601459324359894,0.0006
75,0.16166318953037262,0.25253990292549133,0.0,0.18210361897945404,0.0006
100,0.12885160744190216,0.2078358680009842,0.0,0.1539800763130188,0.0006
125,0.11036965996026993,0.1809084713459015,0.0,0.1372019499540329,0.0006
150,0.09680596739053726,0.16089153289794922,0.0,0.12624914944171906,0.0006
175,0.08510695397853851,0.14432404935359955,0.0,0.1173761636018753,0.0006
200,0.0739976316690445,0.12957428395748138,0.0,0.10974433273077011,0.0006
225,0.06428497284650803,0.11683674901723862,0.0,0.10348840057849884,0.0006
250,0.05703902989625931,0.10724640637636185,0.0,0.09724162518978119,0.0006
275,0.05161135643720627,0.0994817391037941,0.0,0.09183534234762192,0.0006
300,0.04738544672727585,0.09339126199483871,0.0,0.08745421469211578,0.0006
325,0.04415018856525421,0.08867722004652023,0.0,0.08379451185464859,0.0006
350,0.04102454334497452,0.0845288410782814,0.0,0.08011242002248764,0.0006
375,0.0381649024784565,0.08053792268037796,0.0,0.0770324170589447,0.0006
400,0.03591635823249817,0.07757750153541565,0.0,0.07400494813919067,0.0006
425,0.03361932188272476,0.07459653168916702,0.0,0.07219285517930984,0.0006
450,0.031520258635282516,0.07195423543453217,0.0,0.06938906013965607,0.0006
475,0.029815735295414925,0.0700574517250061,0.0,0.06714046746492386,0.0006
500,0.028124086558818817,0.06807359308004379,0.0,0.06527972966432571,0.0006
525,0.02665254846215248,0.06623503565788269,0.0,0.06354817748069763,0.0006
550,0.024998648092150688,0.06413266062736511,0.0,0.06135043129324913,0.0006
575,0.023418668657541275,0.06266766786575317,0.0,0.059907276183366776,0.0006
600,0.022048616781830788,0.06091657280921936,0.0,0.05824628099799156,0.0006
625,0.020887646824121475,0.059592049568891525,0.0,0.05695554241538048,0.0006
650,0.019859319552779198,0.05850202962756157,0.0,0.05518963932991028,0.0006
675,0.01908188685774803,0.05744641646742821,0.0,0.054220929741859436,0.0006
700,0.017834432423114777,0.056001003831624985,0.0,0.05236458033323288,0.0006
725,0.017994632944464684,0.055791404098272324,0.0,0.05183142423629761,0.0006
