sweep_label,n_rows
S3_high_random,2500
coupled_A1_B2_S3_random,2500
coupled_A1_S3_random,1000
coupled_A3_S3_random,3000
coupled_B2_S3_random,1500
coupled_C1_C3_S3_random,2500
coupled_full_random,1000
coupled_sparse_random,2000
