feature,n,pearson_r,slope_feature_vs_c1,intercept,r2
defocus_Mu_h3_under_minus_over_real,100446,-0.004712764867955879,-0.00012718912990377783,0.004768380153517072,2.221015270076343e-05
defocus_Xigma_h4_norm_under_minus_over_imag,100446,-0.005148433934453891,-6.435638774478674e-05,0.0018229548811537837,2.650637197731953e-05
defocus_Mu_h2_under_minus_over_imag,100446,0.005580206939370483,0.0001067219434226062,-0.0025376716670889457,3.113870948623365e-05
defocus_Mu_h1_norm_under_minus_over_magnitude,100446,0.006141461721935845,7.153125133753267e-05,0.38763540527305246,3.7717552081928396e-05
defocus_Xigma_h2_under_plus_over_real,100446,-0.006428228022580494,-4.912403812943935e-05,0.0010619917406454393,4.1322115510000756e-05
defocus_Rho_mean_norm_under_minus_over,100446,0.006753226878959282,7.880007895500878e-05,0.47331174009875404,4.560607327852573e-05
defocus_Rho_mean_norm_over_minus_under,100446,-0.006753226878959282,-7.880007895500878e-05,-0.47331174009875404,4.560607327852573e-05
defocus_Rho_h1_norm_under_minus_over_magnitude,100446,-0.007433756333462004,-6.898739557648629e-05,0.6099916954188763,5.5260733225259706e-05
defocus_Rho_h4_under_minus_over_real,100446,0.00799227572046321,0.0001006601452128059,0.022158698637215507,6.387647119177053e-05
defocus_Mu_h4_norm_under_minus_over_magnitude,100446,0.008090814708974813,5.112433843052676e-05,0.17381691179605085,6.546128265483286e-05
defocus_Rho_h3_norm_under_minus_over_magnitude,100446,-0.010826644769427494,-9.54174044597476e-05,0.7192898910272743,0.00011721623696370198
defocus_Xigma_h4_under_minus_over_magnitude,100446,-0.012149368959175129,-0.0003815825546734056,0.7217647661566292,0.0001476071661061784
defocus_Mu_h2_norm_under_minus_over_magnitude,100446,0.01299015905992085,7.508454263471482e-05,0.14097790852594858,0.000168744232401985
defocus_Xigma_h4_norm_under_minus_over_magnitude,100446,0.013899907544195279,0.00014645202838153103,0.6215229329659888,0.00019320742973738536
defocus_Xigma_h4_under_plus_over_magnitude,100446,0.014150289514573838,0.00014734645500506766,0.24496008602145464,0.00020023069334629273
defocus_Xigma_h3_under_plus_over_real,100446,-0.016006706718833405,-0.0004969045505038281,6.232323883320352,0.000256214659982712
defocus_Mu_h2_under_minus_over_magnitude,100446,-0.0177094066010449,-0.0004406928828049902,0.629016189415133,0.00031362308216109636
defocus_Xigma_h1_under_plus_over_real,100446,-0.017854951186897724,-0.0004982215132829934,6.2329639312626535,0.0003187992818867169
defocus_Xigma_h3_under_plus_over_imag,100446,-0.02022045531836605,-0.0015571701781818398,23.25262665615847,0.0004088668132823381
defocus_Xigma_h1_under_plus_over_imag,100446,-0.020293486798762587,-0.004709541730743812,71.21307980410383,0.0004118256064513659
defocus_Xigma_h1_under_plus_over_magnitude,100446,-0.02035593060272099,-0.0047420421250100086,71.48926360268378,0.00041436391070281964
defocus_Xigma_mean_sum,100446,-0.02042376610638234,-0.003731120403932576,56.07355734889733,0.00041713022196809835
defocus_Xigma_h3_under_plus_over_magnitude,100446,-0.02097066754407684,-0.0016670084052360303,24.091639808031854,0.0004397688972441749
defocus_Rho_h3_under_plus_over_real,100446,0.022629335323538367,0.0010843844673578153,-1.48317432500743,0.0005120868171851756
defocus_Rho_h1_under_plus_over_real,100446,0.022966532934540984,0.0011020914443241523,-1.4839173567748398,0.0005274616350333661
defocus_Rho_h4_norm_under_minus_over_real,100446,0.023132951545449764,0.0002719273033729639,-0.004995890960242793,0.0005351334472042391
defocus_Mu_h4_under_minus_over_magnitude,100446,-0.0240282835135622,-0.000583402007821027,0.6050147576530915,0.0005773584086081751
defocus_Mu_h3_under_minus_over_magnitude,100446,-0.024827590632632957,-0.0008167281128920655,0.7539688957764247,0.0006164092566216528
defocus_Xigma_h2_under_minus_over_magnitude,100446,-0.025673170789482093,-0.0009481722620792799,1.4977431458913102,0.0006591116983859502
defocus_Xigma_h4_norm_under_minus_over_real,100446,-0.026329221929095262,-0.00037592561394816595,-0.06975008716875414,0.0006932279273914599
defocus_Rho_h3_under_plus_over_imag,100446,0.026624695814929527,0.004466840903097996,-5.642877788498874,0.0007088744272374381
defocus_Rho_h1_under_plus_over_imag,100446,0.026774572816349276,0.013578249188446153,-17.157087145971133,0.0007168777494980239
defocus_Rho_mean_sum,100446,0.02677712561172972,0.010686126843331053,-13.503363746859781,0.0007170144560264546
defocus_Rho_h2_under_minus_over_magnitude,100446,-0.027094736938268565,-0.0012768499819295542,1.9569849879984431,0.0007341247697538744
defocus_Mu_h1_under_plus_over_magnitude,100446,-0.028349020412504873,-0.000283421977154843,0.28536213635015845,0.0008036669583483258
defocus_Xigma_h2_norm_under_minus_over_magnitude,100446,-0.028996414940635228,-0.0002385755379530893,0.8257009788873966,0.0008407920794099022
defocus_Rho_h2_under_plus_over_magnitude,100446,-0.030733863353532054,-0.0006402066877018306,0.6208883506830972,0.0009445703566334229
defocus_Mu_h4_under_plus_over_magnitude,100446,-0.031072404740909845,-0.005467442152350603,4.58425402746133,0.0009654943363829327
defocus_Mu_h3_under_plus_over_magnitude,100446,-0.031316985395432366,-0.008535939785558744,7.090472053465534,0.0009807535742575313
defocus_Mu_h2_under_plus_over_magnitude,100446,-0.0314875141270315,-0.005578676634766994,4.658411328385935,0.000991463545899962
defocus_Xigma_h2_under_plus_over_magnitude,100446,0.03558627532426489,0.0003187029611287464,0.23261031068274127,0.00126638299145454
defocus_Rho_h3_under_plus_over_magnitude,100446,-0.035911743634900316,-0.005586661592516846,6.602983460715661,0.001289653330898921
defocus_Rho_h1_under_plus_over_magnitude,100446,-0.036050626209471935,-0.016505178213637707,19.311379083443498,0.0012996476500948262
defocus_Rho_h4_under_plus_over_magnitude,100446,-0.038827144064344246,-0.0007153256082540765,0.48441262095658777,0.0015075471161931642
defocus_Rho_h1_under_minus_over_real,100446,-0.05049625861303717,-0.0028161433107744822,1.466147632796007,0.0025498721339146657
defocus_Rho_h4_norm_under_minus_over_magnitude,100446,0.050649977918637214,0.00046470518384755143,0.4862344057846783,0.0025654202631587575
defocus_Rho_h3_under_minus_over_real,100446,-0.06044525758346497,-0.0028043320968986476,1.4680226225123796,0.003653629164331429
defocus_Rho_h3_under_minus_over_imag,100446,-0.07353816842427052,-0.010362788506198544,5.437432533510013,0.005407862215196624
defocus_Rho_h1_under_minus_over_imag,100446,-0.07531576267696076,-0.03133748068184935,16.705667769545965,0.005672464107612352
defocus_Rho_mean_under_minus_over,100446,-0.07549870472177733,-0.02470441521816595,13.154487174173255,0.005700054414666145
defocus_Rho_mean_over_minus_under,100446,0.07549870472177733,0.02470441521816595,-13.154487174173255,0.005700054414666145
defocus_Rho_h1_under_minus_over_magnitude,100446,-0.08158028831112896,-0.032349187482668976,17.61570757360573,0.006655343440927108
under_Xigma_h1_real,100446,-0.08250958590039513,-0.002613581792212976,2.54946242816251,0.0068078317654547416
under_Xigma_h3_real,100446,-0.08450803656312471,-0.0026290986776950406,2.548516186649076,0.007141608243754538
defocus_Rho_h3_under_minus_over_magnitude,100446,-0.0904720898134244,-0.011182222557313408,6.483071243710285,0.008185199035208424
under_Xigma_h3_imag,100446,-0.10453152425692047,-0.009551139318984209,9.506826133474513,0.010926839563475066
defocus_Xigma_h1_norm_under_minus_over_real,100446,-0.10550070371745786,-6.838926948710075e-05,-0.018159751064626466,0.011130398484878845
under_Xigma_h1_imag,100446,-0.10627313855513065,-0.029140924485183475,29.10632272226966,0.011293979978358126
under_Xigma_mean,100446,-0.10642536222215673,-0.022966624778084557,22.91935578358694,0.011326357724117164
defocus_Xigma_h1_under_minus_over_real,100446,-0.10698365031672114,-0.004728942071142941,-1.134039074937634,0.011445501435090377
over_Xigma_h1_real,100446,0.11104812033357292,0.0021153602789299782,3.683501503100144,0.012331685029619788
defocus_Xigma_h3_norm_under_minus_over_real,100446,-0.11400996223386256,-0.00020466952158260132,-0.053991060810750606,0.012998271488566693
defocus_Xigma_h3_under_minus_over_real,100446,-0.11860682462548922,-0.004761292804886242,-1.1352915100221994,0.014067578847741569
over_Xigma_h3_real,100446,0.11924382935373272,0.0021321941271912103,3.6838076966712765,0.014219090838942128
defocus_Xigma_h1_norm_under_minus_over_magnitude,100446,0.12196862932245188,0.0006402720034399567,0.22028893295547491,0.014876346538797658
defocus_Xigma_h3_norm_under_minus_over_magnitude,100446,0.12609550956046017,0.000613170372602851,0.24146389242694558,0.01590007753131195
defocus_Xigma_h3_norm_under_minus_over_imag,100446,-0.13751063717648948,-0.0007541729207111153,-0.2015090298866576,0.018909175336684125
defocus_Xigma_h1_under_minus_over_magnitude,100446,0.14037109019036342,0.04297717771048059,13.95344878373528,0.019704042961231072
defocus_Xigma_h1_norm_under_minus_over_imag,100446,-0.14073183460715796,-0.0007752451764985001,-0.20805234102462133,0.019805449271896647
defocus_Xigma_mean_norm_under_minus_over,100446,-0.1409378355999731,-0.0007788348423554874,-0.2088346709554588,0.0198634735036054
defocus_Xigma_mean_norm_over_minus_under,100446,0.1409378355999731,0.0007788348423554874,0.2088346709554588,0.0198634735036054
defocus_Xigma_h3_under_minus_over_magnitude,100446,0.1483750097579965,0.013740207980899989,5.263284034613686,0.022015143520685232
defocus_Xigma_h3_under_minus_over_imag,100446,-0.1570580020816153,-0.017545108459786674,-4.238974389209454,0.024667216017868587
defocus_Xigma_h1_under_minus_over_imag,100446,-0.16322291640755038,-0.05357230723962311,-13.000434359564489,0.026641720440586325
C1_value_real,100446,0.1634882888372391,0.04220212915223662,10.234845781723456,0.026728420586928592
defocus_Xigma_mean_under_minus_over,100446,-0.16348828883723912,-0.04220212915223661,-10.234845781723457,0.026728420586928592
defocus_Xigma_mean_over_minus_under,100446,0.16348828883723912,0.04220212915223661,10.234845781723457,0.026728420586928592
over_Xigma_h3_imag,100446,0.2731840269104893,0.007993969140802436,13.745800522683965,0.07462951255903094
over_Xigma_h1_imag,100446,0.3264364572486618,0.02443138275443971,42.10675708183415,0.10656076062105746
over_Xigma_mean,100446,0.3282421642249965,0.019235504374152147,33.154201565310416,0.10774291837510963
