sweep_label,nn_distance_quartile,group,n,median_weighted_abs_error,median_nn_distance_12d,p95_weighted_abs_error,p95_nn_distance_12d
S3_high_random,q1_nearest,S3_high_random:q1_nearest,4667,0.0003616976900957525,0.002521372400224209,0.0006127865752205252,0.005183609994128346
coupled_A1_A2_B2_random,q1_nearest,coupled_A1_A2_B2_random:q1_nearest,144,0.0015001556021161377,0.028503631241619587,0.006594337965361773,0.044252485036849976
coupled_A1_A2_B2_random,q2,coupled_A1_A2_B2_random:q2,194,0.0029612459475174546,0.06678377464413643,0.01065908810123801,0.08013854809105396
coupled_A1_A2_B2_random,q3,coupled_A1_A2_B2_random:q3,621,0.005349164362996817,0.1378483772277832,0.015319307334721088,0.20643968880176544
coupled_A1_A2_B2_random,q4_farthest,coupled_A1_A2_B2_random:q4_farthest,541,0.008661547675728798,0.32690325379371643,0.025566542521119118,0.5083897113800049
coupled_A1_B2_S3_random,q1_nearest,coupled_A1_B2_S3_random:q1_nearest,326,0.0008924080175347626,0.033432601019740105,0.0023169846390374005,0.044948602095246315
coupled_A1_B2_S3_random,q2,coupled_A1_B2_S3_random:q2,1720,0.0012423521257005632,0.0681137703359127,0.002669029636308551,0.08020908497273922
coupled_A1_B2_S3_random,q3,coupled_A1_B2_S3_random:q3,3299,0.0015276250196620822,0.10750072449445724,0.0033759315498173227,0.19990042895078658
coupled_A1_B2_S3_random,q4_farthest,coupled_A1_B2_S3_random:q4_farthest,822,0.0022371815284714103,0.2606022357940674,0.00497700725682079,0.3538037061691284
coupled_A1_S3_random,q1_nearest,coupled_A1_S3_random:q1_nearest,1386,0.0008092087227851152,0.03553877770900726,0.0020654876134358346,0.04487755708396435
coupled_A1_S3_random,q2,coupled_A1_S3_random:q2,1570,0.0011558092664927244,0.05740785226225853,0.0024820503778755663,0.0761031374335289
coupled_A1_S3_random,q3,coupled_A1_S3_random:q3,377,0.0015033968957141042,0.09781514108181,0.0031329415738582597,0.13816946148872375
coupled_A2_B2_random,q1_nearest,coupled_A2_B2_random:q1_nearest,277,0.0034108522813767195,0.03810257837176323,0.00867947768419981,0.04549050629138947
coupled_A2_B2_random,q2,coupled_A2_B2_random:q2,1502,0.0036171837709844112,0.06559928134083748,0.009309375612065197,0.07967788651585579
coupled_A2_B2_random,q3,coupled_A2_B2_random:q3,2211,0.00468189362436533,0.10761108249425888,0.014278057031333447,0.1612296625971794
coupled_A2_B2_random,q4_farthest,coupled_A2_B2_random:q4_farthest,10,0.013857595156878233,0.2241300716996193,0.02252144925296306,0.24715826287865636
coupled_A3_S3_random,q1_nearest,coupled_A3_S3_random:q1_nearest,2461,0.0013047911925241351,0.03494858741760254,0.0026407544501125813,0.044749874621629715
coupled_A3_S3_random,q2,coupled_A3_S3_random:q2,1813,0.0015868699410930276,0.05531148239970207,0.0031558857299387455,0.07661445885896682
