epoch,train_loss,validation_loss,train_weighted_mse,validation_weighted_mse,blind_weighted_mse,stress_weighted_mse,train_parent_weighted_mse,train_training_only_weighted_mse,train_component_loss,validation_component_loss,train_component_smoothl1,validation_component_smoothl1,train_s3_magnitude_loss,train_residual_penalty,train_total_objective,train_total_objective_loss,train_epoch_objective_loss,learning_rate
1,1.3789790868759155,1.6234118938446045,1.3789790868759155,1.6234118938446045,1.4925638437271118,1.4805248975753784,1.5072274208068848,1.3740359544754028,0.7782573699951172,0.8542710542678833,0.7782573699951172,0.8542710542678833,0.0,2.471743982823682e-07,0.7782576171695155,0.7782576171695155,0.7914575338363647,0.0006
25,0.5211281776428223,0.7313903570175171,0.5211281776428223,0.7313903570175171,0.5421069860458374,0.625034511089325,0.6056298017501831,0.5178711414337158,0.3539259731769562,0.48425260186195374,0.3539259731769562,0.48425260186195374,0.0,0.000991192413493991,0.35491716559045017,0.35491716559045017,0.3758152425289154,0.0006
50,0.18941883742809296,0.2902791202068329,0.18941883742809296,0.2902791202068329,0.17321565747261047,0.22225415706634521,0.23327334225177765,0.18772853910923004,0.1635538935661316,0.2523648738861084,0.1635538935661316,0.2523648738861084,0.0,0.001875055837444961,0.16542894940357655,0.16542894940357655,0.20126201212406158,0.0006
75,0.1257198452949524,0.19891126453876495,0.1257198452949524,0.19891126453876495,0.1103256568312645,0.1428310126066208,0.15810826420783997,0.12447147071361542,0.11417801678180695,0.18607698380947113,0.11417801678180695,0.18607698380947113,0.0,0.0020427985582500696,0.11622081534005702,0.11622081534005702,0.15184226632118225,0.0006
100,0.0972728356719017,0.15872280299663544,0.0972728356719017,0.15872280299663544,0.08866196125745773,0.11346485465765,0.12358661741018295,0.09625858813524246,0.09266382455825806,0.15374980866909027,0.09266382455825806,0.15374980866909027,0.0,0.0020354113075882196,0.09469923586584628,0.09469923586584628,0.1297808736562729,0.0006
125,0.07970181852579117,0.13328979909420013,0.07970181852579117,0.13328979909420013,0.07465212792158127,0.09560849517583847,0.10260018706321716,0.07881923019886017,0.07858224213123322,0.13222140073776245,0.07858224213123322,0.13222140073776245,0.0,0.00201388169080019,0.0805961238220334,0.0805961238220334,0.11538135260343552,0.0006
150,0.06760285794734955,0.11539766937494278,0.06760285794734955,0.11539766937494278,0.06421049684286118,0.08361449092626572,0.08834563195705414,0.06680335104465485,0.06861687451601028,0.11755865067243576,0.06861687451601028,0.11755865067243576,0.0,0.001965687843039632,0.07058256235904992,0.07058256235904992,0.104772187769413,0.0006
175,0.05808035284280777,0.10074436664581299,0.05808035284280777,0.10074436664581299,0.05580129101872444,0.0729672834277153,0.0771007388830185,0.057347241789102554,0.060769397765398026,0.10565520077943802,0.060769397765398026,0.10565520077943802,0.0,0.001910993829369545,0.06268039159476757,0.06268039159476757,0.09631545096635818,0.0006
200,0.05020736902952194,0.08898445218801498,0.05020736902952194,0.08898445218801498,0.04943445324897766,0.06411109119653702,0.06825967133045197,0.04951157048344612,0.0542941577732563,0.09603957831859589,0.0542941577732563,0.09603957831859589,0.0,0.0018559617456048727,0.056150119518861175,0.056150119518861175,0.08919913321733475,0.0006
225,0.04428843781352043,0.07974807173013687,0.04428843781352043,0.07974807173013687,0.04460770636796951,0.057538580149412155,0.0615040622651577,0.043624889105558395,0.04900497570633888,0.08812228590250015,0.04900497570633888,0.08812228590250015,0.0,0.0018053934909403324,0.050810369197279215,0.050810369197279215,0.08328035473823547,0.0006
250,0.04006507620215416,0.0727788433432579,0.04006507620215416,0.0727788433432579,0.04096686840057373,0.0525616854429245,0.056325070559978485,0.039438363164663315,0.04505274072289467,0.0818818211555481,0.04505274072289467,0.0818818211555481,0.0,0.001745053450576961,0.04679779417347163,0.04679779417347163,0.0785478726029396,0.0006
275,0.03670937567949295,0.06727433949708939,0.03670937567949295,0.06727433949708939,0.03793998807668686,0.04857679829001427,0.052125342190265656,0.036115191876888275,0.041892826557159424,0.0768699198961258,0.041892826557159424,0.0768699198961258,0.0,0.001693177386187017,0.04358600394334644,0.04358600394334644,0.07442409545183182,0.0006
300,0.03396671637892723,0.06255590170621872,0.03396671637892723,0.06255590170621872,0.03547436371445656,0.04508247971534729,0.04857098311185837,0.03340381383895874,0.039239756762981415,0.07247397303581238,0.039239756762981415,0.07247397303581238,0.0,0.001638817717321217,0.04087857448030263,0.04087857448030263,0.07083514332771301,0.0006
325,0.03160307928919792,0.05873822420835495,0.03160307928919792,0.05873822420835495,0.03349526599049568,0.04209679737687111,0.04559372738003731,0.031063832342624664,0.037017062306404114,0.06896968185901642,0.037017062306404114,0.06896968185901642,0.0,0.0015845646848902106,0.038601626991294324,0.038601626991294324,0.06768543273210526,0.0006
350,0.029546458274126053,0.055336225777864456,0.029546458274126053,0.055336225777864456,0.03177303820848465,0.03956235572695732,0.042911335825920105,0.029031328856945038,0.03500073403120041,0.06560580432415009,0.03500073403120041,0.06560580432415009,0.0,0.0015329041052609682,0.03653363813646138,0.03653363813646138,0.06489874422550201,0.0006
375,0.027688954025506973,0.0525691881775856,0.027688954025506973,0.0525691881775856,0.030406994745135307,0.03736039996147156,0.04059198871254921,0.02719162404537201,0.03326718509197235,0.06295601278543472,0.03326718509197235,0.06295601278543472,0.0,0.0014916127547621727,0.034758797846734524,0.034758797846734524,0.06252173334360123,0.0006
400,0.02603801153600216,0.04987044632434845,0.02603801153600216,0.04987044632434845,0.02905893139541149,0.0352667011320591,0.03845634311437607,0.02555936388671398,0.03158069774508476,0.06025649234652519,0.03158069774508476,0.06025649234652519,0.0,0.0014492168556898832,0.033029914600774646,0.033029914600774646,0.06012032553553581,0.0006
425,0.02450023964047432,0.047551821917295456,0.02450023964047432,0.047551821917295456,0.02786724641919136,0.03349619358778,0.03641403466463089,0.024041039869189262,0.030061576515436172,0.05789124593138695,0.030061576515436172,0.05789124593138695,0.0,0.0014058670494705439,0.031467443564906716,0.031467443564906716,0.058075036853551865,0.0006
450,0.023134423419833183,0.045350559055805206,0.023134423419833183,0.045350559055805206,0.02678743004798889,0.0317058339715004,0.034609731286764145,0.022692125290632248,0.028722958639264107,0.05573737621307373,0.028722958639264107,0.05573737621307373,0.0,0.001367646618746221,0.030090605258010328,0.030090605258010328,0.05622477829456329,0.0006
475,0.021869994699954987,0.04326647147536278,0.021869994699954987,0.04326647147536278,0.025721486657857895,0.030164238065481186,0.032936304807662964,0.021443460136651993,0.027452202513813972,0.05363045260310173,0.027452202513813972,0.05363045260310173,0.0,0.0013328492641448975,0.02878505177795887,0.02878505177795887,0.05436999723315239,0.0006
500,0.020726189017295837,0.041322458535432816,0.020726189017295837,0.041322458535432816,0.024803582578897476,0.02872276119887829,0.03138473629951477,0.020315371453762054,0.026286151260137558,0.05162403732538223,0.026286151260137558,0.05162403732538223,0.0,0.0013008539099246264,0.027587005170062184,0.027587005170062184,0.052882008254528046,0.0006
525,0.01959216222167015,0.039403222501277924,0.01959216222167015,0.039403222501277924,0.023725079372525215,0.027380874380469322,0.029770532622933388,0.019199855625629425,0.025141600519418716,0.04968258738517761,0.025141600519418716,0.04968258738517761,0.0,0.0012700250372290611,0.026411625556647778,0.026411625556647778,0.051196224987506866,0.0006
550,0.01859341561794281,0.03757639229297638,0.01859341561794281,0.03757639229297638,0.022780952975153923,0.026145843788981438,0.028356218710541725,0.018217124044895172,0.024121565744280815,0.0477922149002552,0.024121565744280815,0.0477922149002552,0.0,0.0012366384034976363,0.02535820414777845,0.02535820414777845,0.04971740022301674,0.0006
575,0.017714474350214005,0.03609862178564072,0.017714474350214005,0.03609862178564072,0.022044295445084572,0.02497810684144497,0.027130935341119766,0.017351530492305756,0.023230383172631264,0.04628195986151695,0.023230383172631264,0.04628195986151695,0.0,0.0012088028015568852,0.02443918597418815,0.02443918597418815,0.04847154766321182,0.0006
600,0.016901975497603416,0.03465307503938675,0.016901975497603416,0.03465307503938675,0.0211653932929039,0.023971479386091232,0.025831827893853188,0.016557788476347923,0.022378860041499138,0.04476077854633331,0.022378860041499138,0.04476077854633331,0.0,0.0011754921870306134,0.02355435222852975,0.02355435222852975,0.04724530503153801,0.0006
