relative_angle_A3_S3_category,n,median_weighted_error,p95_weighted_error,median_nn_distance_12d,p95_nn_distance_12d,coverage_limited_failures,dense_failures,angle_pair
aligned_or_anti_aligned,986,0.038370201364159584,0.09541289880871773,0.9694614708423615,1.1574471592903137,160,20,A3_S3
anti_aligned,599,0.03250162675976753,0.08053298294544227,0.9010948538780212,1.1092891931533813,52,13,A3_S3
oblique,2959,0.0352395623922348,0.07714411169290541,0.9026708006858826,1.0817132711410522,180,90,A3_S3
orthogonal,1451,0.032015204429626465,0.08133853226900101,0.8952938914299011,1.1160741448402405,96,42,A3_S3
,368,0.03248085081577301,0.07637460529804227,0.8073450922966003,1.072418838739395,19,13,B2_S3
,365,0.02894951030611992,0.08164297938346862,0.813290536403656,1.137415599822998,32,11,B2_S3
,3601,0.03694268316030502,0.08049000799655914,0.933143138885498,1.1057361364364624,302,95,B2_S3
,1661,0.03261439502239227,0.08584868907928467,0.9021915793418884,1.1426323652267456,135,46,B2_S3
