active_run,n_v15,n_v13_baseline,n_matched_probe_ids,v13_weighted_abs_error_rmse,v13_weighted_abs_error_mae,v13_weighted_abs_error_p95,v13_overall_abs_error_rmse,v13_overall_abs_error_mae,v13_overall_abs_error_p95,v13_S3_vector_error_rmse,v13_S3_vector_error_mae,v13_S3_vector_error_p95,v13_A3_vector_error_rmse,v13_A3_vector_error_mae,v13_A3_vector_error_p95,v13_B2_vector_error_rmse,v13_B2_vector_error_mae,v13_B2_vector_error_p95,v15_weighted_abs_error_rmse,v15_weighted_abs_error_mae,v15_weighted_abs_error_p95,v15_overall_abs_error_rmse,v15_overall_abs_error_mae,v15_overall_abs_error_p95,v15_S3_vector_error_rmse,v15_S3_vector_error_mae,v15_S3_vector_error_p95,v15_A3_vector_error_rmse,v15_A3_vector_error_mae,v15_A3_vector_error_p95,v15_B2_vector_error_rmse,v15_B2_vector_error_mae,v15_B2_vector_error_p95,delta_weighted_abs_error_mean,delta_weighted_abs_error_worse_fraction,delta_overall_abs_error_mean,delta_overall_abs_error_worse_fraction,delta_S3_vector_error_mean,delta_S3_vector_error_worse_fraction,delta_A3_vector_error_mean,delta_A3_vector_error_worse_fraction,delta_B2_vector_error_mean,delta_B2_vector_error_worse_fraction
v13_active_12d_hole_search_20260617_215931_utc,3000,0,0,,,,,,,,,,,,,,,,0.040328815317382936,0.03248624838750887,0.07924282252788542,2.5689806759918166,2.0313687166435024,5.160023093223568,11.709614991078197,8.665705352299536,24.13040895462035,7.225026428187939,5.029520138962815,15.69326996803282,0.22155437194596717,0.16736985731983442,0.4700528904795642,,,,,,,,,,
v13_active_12d_hole_search_20260618_025610_utc,3000,3000,3000,0.04091578966031976,0.032175198196588706,0.08157749027013764,2.613731470265104,2.0176342130340634,5.224448084831233,11.913178171654398,8.633606563109904,25.10336437225341,7.346875026787684,4.999042851864671,14.157091665267929,0.2264051489614357,0.16560895464608136,0.4948599442839622,0.040328815317382936,0.03248624838750887,0.07924282252788542,2.5689806759918166,2.0313687166435024,5.160023093223568,11.709614991078197,8.665705352299536,24.13040895462035,7.225026428187939,5.029520138962815,15.69326996803282,0.22155437194596717,0.16736985731983442,0.4700528904795642,0.0003110501909201654,0.5556666666666666,0.013734503609438738,0.5493333333333333,0.03209878918963174,0.5206666666666667,0.03047728709814449,0.531,0.0017609026737530561,0.541
v13_active_12d_hole_search_expanded_cycle01_20260618_184220_utc,5553,5553,5553,0.07390489090135564,0.054177582932543225,0.17003032863140066,4.668430601905167,3.351064367496536,10.766639137268054,17.31154307682663,12.953857582700808,36.782266998291014,18.232873864825006,10.573934630867695,46.94510574340819,0.4590593800647307,0.32749546175090877,1.0874015092849727,0.04070433201305713,0.03354384542680846,0.0757232204079628,2.587775198569567,2.068635960162362,4.964533233642577,11.849123404408818,8.601969629735446,24.58046722412109,6.901215319314291,5.096233043521133,13.554679489135742,0.24025026698608987,0.18930908826224835,0.47215293645858747,-0.020633737505734766,0.45650999459751485,-1.2824284073341736,0.4574104087880425,-4.3518879529653605,0.43508013686295693,-5.477701587346563,0.4399423734918062,-0.1381863734886604,0.4204934269764091
v13_active_12d_hole_search_expanded_cycle02_20260618_185259_utc,5658,5658,5658,0.04861499330359217,0.04136145471181416,0.0843140359967947,3.1488649007218066,2.602857148791632,5.596142601966857,15.76871484615076,12.020324862511092,33.30039615631103,7.918897143792256,6.014137326746642,14.603793668746947,0.2547700243504865,0.206653469756745,0.5022187918424605,0.05233039783554485,0.04282887673437379,0.11496303603053093,3.398236748175747,2.6921503503506323,7.697144627571098,17.68404820989629,12.359117564280739,44.140953063964844,8.024958024577536,6.131060696723511,15.82963051795959,0.27699230728048974,0.22405737101349923,0.5316960632801053,0.001467422022559631,0.543655001767409,0.08929320155900036,0.5402969247083775,0.3387927017696452,0.5197949805585013,0.11692336997686868,0.5074231177094379,0.01740390125675421,0.5219158713326264
v13_active_12d_hole_search_expanded_cycle03_20260618_190539_utc,5995,5995,5995,0.046627496176263404,0.039836245212700835,0.08175559937953951,3.005826227259089,2.498288630658731,5.462714624404908,14.822123322001708,11.43074834441224,28.158833312988282,7.727613636439208,5.880114461602744,13.774287128448494,0.25017757538186125,0.20460838185111313,0.4901304095983506,0.0505440919370234,0.04323376685270637,0.09114120602607727,3.271774590538215,2.7286724175434496,6.059094333648684,15.654501666543904,12.087203437291253,30.362740325927746,8.350243222774639,6.490013190390879,14.785478496551516,0.25337654944263543,0.21075123534996135,0.4707194685935974,0.003397521640005536,0.5994995829858215,0.23038378688471828,0.5929941618015012,0.6564550928790138,0.5562969140950792,0.6098987287881351,0.5934945788156797,0.006142853498848208,0.544954128440367
v13_active_12d_hole_search_expanded_cycle04_20260618_191721_utc,6500,6500,6500,0.03975382404950471,0.03446521661358957,0.07102080993354316,2.545652182072169,2.138621940264335,4.726821517944332,11.847071897115667,9.237919401669158,23.221160793304435,6.103156281929151,4.673761432773219,11.385712051391597,0.23519374763993312,0.19663668245256233,0.44408214241266236,0.03995130505500183,0.0351775916805849,0.07048701532185077,2.523255243754074,2.161570360612411,4.6078938484191845,11.999528268906662,9.47609738748234,23.53430318832394,5.989003242100021,4.713002459154106,11.508703613281247,0.25378575590063807,0.2131776478741891,0.4619594424962997,0.0007123750669953342,0.5432307692307692,0.02294842034807572,0.5172307692307693,0.23817798581318214,0.5315384615384615,0.039241026380887396,0.5109230769230769,0.016540965421626773,0.5732307692307692
v13_active_12d_hole_search_v2_focused_sparse_20260618_030707_utc,3790,3790,3790,0.10218377292730074,0.059963494357603814,0.3102699160575865,6.637764769614959,3.834964096227705,20.129602718353265,22.906329095635602,14.692573842638243,63.84044113159178,20.74411571304527,10.549099457566689,61.7073060989379,0.4626709807078182,0.27894310280696016,1.4196840107440947,0.03875880339814863,0.0313449226755349,0.07514804825186729,2.4733311564455382,1.9564354344199861,4.806932497024531,11.734326477001112,8.68177291846055,24.019004917144755,6.315588950533239,4.549605254117291,12.717043066024779,0.2182431540938914,0.16550996987361677,0.48306885510683056,-0.02861857168206891,0.49709762532981533,-1.8785286618077188,0.49129287598944593,-6.010800924177692,0.45382585751978893,-5.999494203449396,0.4525065963060686,-0.11343313293334338,0.4704485488126649
v13_active_12d_hole_search_v3_high_amp_alignment_20260618_031730_utc,4600,4600,4600,0.048164763245596674,0.039907783524072524,0.08708787597715859,3.088863171659603,2.4823162449216065,5.782634544372558,13.206641351460265,9.980918528210047,26.0925289154053,8.479265805158192,6.09579681924767,16.13094902038576,0.2619397424130118,0.21153534436751215,0.5030567884445191,0.04310939311177365,0.035584220065249375,0.08135462105274202,2.7491855289205294,2.2138600531835917,5.402343177795411,12.109085009643364,9.097050346231654,24.78974952697754,7.428219719793298,5.3663610000997455,14.073246049880984,0.2416202922580094,0.19006374729574538,0.47038453072309505,-0.004323563458823154,0.47282608695652173,-0.26845619173801466,0.47456521739130436,-0.8838681819783929,0.4693478260869565,-0.729435819147924,0.45304347826086955,-0.02147159707176679,0.45304347826086955
v13_active_12d_hole_search_v4_dense_alignment_bridge_20260618_032829_utc,4800,4800,4800,0.048959256311778776,0.040937275333126306,0.08609283044934274,3.1896693967465892,2.571845007504647,5.937870025634766,17.655177682105524,12.371946133033683,43.964629554748534,7.633527126554381,5.464211659671273,14.687486124038704,0.2649785621095981,0.21365113091664473,0.5132741838693619,0.043139498391143706,0.03622299792628231,0.08057126440107826,2.7260906645089684,2.2238535007679214,5.229077887535096,12.038321587102033,9.183758077006788,24.41615800857545,7.476980160904137,5.521946069997891,14.793426370620729,0.2623995983750157,0.2099062914106859,0.5066354840993882,-0.004714277406844,0.49166666666666664,-0.3479915067367256,0.48375,-3.188188056026896,0.47229166666666667,0.05773441032661746,0.5233333333333333,-0.0037448395059588315,0.48020833333333335
