active_run,active_probe_id,sweep_label,proposal_mode,v15_failure_class,v15_weighted_abs_error,v13_weighted_abs_error,delta_weighted_abs_error,ratio_weighted_abs_error,v15_overall_abs_error,v13_overall_abs_error,delta_overall_abs_error,ratio_overall_abs_error,v15_C1_abs_error,v13_C1_abs_error,delta_C1_abs_error,ratio_C1_abs_error,v15_C3_abs_error,v13_C3_abs_error,delta_C3_abs_error,ratio_C3_abs_error,v15_A1_vector_error,v13_A1_vector_error,delta_A1_vector_error,ratio_A1_vector_error,v15_B2_vector_error,v13_B2_vector_error,delta_B2_vector_error,ratio_B2_vector_error,v15_A2_vector_error,v13_A2_vector_error,delta_A2_vector_error,ratio_A2_vector_error,v15_S3_vector_error,v13_S3_vector_error,delta_S3_vector_error,ratio_S3_vector_error,v15_A3_vector_error,v13_A3_vector_error,delta_A3_vector_error,ratio_A3_vector_error
v13_active_12d_hole_search_v4_dense_alignment_bridge_20260618_032829_utc,active_probe_00560,coupled_full_random,genetic_algorithm,coverage_limited_sparse_failure,0.31558188796043396,0.35760223865509033,-0.04202035069465637,0.8824941620816158,20.658344268798828,24.287002563476562,-3.6286582946777344,0.8505925840295085,19.860107421875,7.506507873535156,12.353599548339844,2.645718589318147,0.05688459798693657,0.026363033801317215,0.030521564185619354,2.1577409647024144,34.43889236450195,43.639976501464844,-9.20108413696289,0.7891592783819661,1.5017515420913696,0.9701792001724243,0.5315723419189453,1.5479115011169813,0.6330224871635437,0.4333692193031311,0.1996532678604126,1.4607001581271974,75.05047607421875,80.98835754394531,-5.9378814697265625,0.9266822831108213,59.08958053588867,93.22309112548828,-34.13351058959961,0.6338513325668182
v13_active_12d_hole_search_expanded_cycle04_20260618_191721_utc,active_probe_06378,coupled_full_random,genetic_algorithm,coverage_limited_sparse_failure,0.30751970410346985,0.3704718351364136,-0.06295213103294373,0.8300757977734967,20.889772415161133,24.017913818359375,-3.128141403198242,0.8697579886889643,24.634689331054688,12.058708190917969,12.575981140136719,2.0428962158324997,0.04640154168009758,0.06465546786785126,-0.018253926187753677,0.7176738984386793,44.15392303466797,57.21668243408203,-13.062759399414062,0.771696665313244,0.8205487728118896,1.3279920816421509,-0.5074433088302612,0.617886796280612,0.6151796579360962,0.7685025334358215,-0.15332287549972534,0.8004913857417628,98.80304718017578,91.36537170410156,7.437675476074219,1.0814058470660206,46.014854431152344,75.99991607666016,-29.985061645507812,0.6054592795173318
v13_active_12d_hole_search_v3_high_amp_alignment_20260618_031730_utc,active_probe_03595,coupled_full_random,high_amp_alignment,coverage_limited_sparse_failure,0.2940661311149597,0.2901492118835449,0.003916919231414795,1.0134996721376135,17.385591506958008,18.21384620666504,-0.8282546997070312,0.9545260956796733,23.245521545410156,21.5469970703125,1.6985244750976562,1.0788288256389047,0.004020079970359802,0.011520341038703918,-0.007500261068344116,0.3489549447237611,33.28981399536133,38.765010833740234,-5.475196838378906,0.8587593110224695,1.9685124158859253,1.324567198753357,0.6439452171325684,1.4861551892109592,0.7452168464660645,0.4766189754009247,0.26859787106513977,1.5635484211244408,44.091609954833984,43.98296356201172,0.10864639282226562,1.0024701926387722,66.46723937988281,73.32447814941406,-6.85723876953125,0.9064809059321475
v13_active_12d_hole_search_v3_high_amp_alignment_20260618_031730_utc,active_probe_01784,coupled_full_random,high_amp_alignment,mixed_failure,0.2722480595111847,0.2419222742319107,0.030325785279273987,1.1253534234313753,18.382915496826172,16.47089958190918,1.9120159149169922,1.1160844861817418,24.05742645263672,10.816780090332031,13.240646362304688,2.2240839003595063,0.009527266025543213,0.05199781060218811,-0.0424705445766449,0.18322436878029433,40.36708068847656,40.122501373291016,0.24457931518554688,1.0060958142392478,0.881380558013916,0.5501900315284729,0.3311905264854431,1.6019566104557887,0.2801111042499542,0.5370347499847412,-0.256923645734787,0.5215884153826414,57.05184555053711,49.964805603027344,7.087039947509766,1.141840638865217,48.366947174072266,46.86200714111328,1.5049400329589844,1.0321142888401522
v13_active_12d_hole_search_expanded_cycle03_20260618_190539_utc,active_probe_01915,coupled_full_random,high_amp_oblique,dense_model_feature_loss_failure,0.2703934609889984,0.2261180877685547,0.044275373220443726,1.195806419810883,19.93384552001953,16.575532913208008,3.3583126068115234,1.2026066144838996,24.78179168701172,20.93512725830078,3.8466644287109375,1.1837421087175735,0.09706985950469971,0.07962846755981445,0.017441391944885254,1.21903463019408,23.154766082763672,19.4617862701416,3.6929798126220703,1.1897554397813865,0.3346434235572815,0.2849985361099243,0.04964488744735718,1.1741934822718145,0.2679147720336914,0.3481881022453308,-0.0802733302116394,0.769454126393212,132.3964385986328,107.41069030761719,24.985748291015625,1.2326188223859103,2.53580379486084,3.3157286643981934,-0.7799248695373535,0.764780249387834
v13_active_12d_hole_search_expanded_cycle01_20260618_184220_utc,active_probe_03114,coupled_full_random,genetic_algorithm,coverage_limited_sparse_failure,0.2623162567615509,0.2652207016944885,-0.002904444932937622,0.9890489508760771,17.355636596679688,17.844968795776367,-0.4893321990966797,0.972578702451276,7.678688049316406,7.6771087646484375,0.00157928466796875,1.0002057134679714,0.011860568076372147,0.0171499140560627,-0.005289345979690552,0.6915817792205958,44.34375,44.855682373046875,-0.511932373046875,0.9885871232815201,0.8930254578590393,0.6990775465965271,0.1939479112625122,1.2774340446303152,0.19136962294578552,0.21477119624614716,-0.023401573300361633,0.8910395168934044,71.46110534667969,58.419681549072266,13.041423797607422,1.2232368176579786,49.773841857910156,58.833580017089844,-9.059738159179688,0.8460107619398983
v13_active_12d_hole_search_v4_dense_alignment_bridge_20260618_032829_utc,active_probe_01518,coupled_full_random,genetic_algorithm,coverage_limited_sparse_failure,0.25714483857154846,0.2417980134487152,0.015346825122833252,1.0634696079754529,17.66448974609375,16.696401596069336,0.9680881500244141,1.0579818438394726,15.660301208496094,16.6644287109375,-1.0041275024414062,0.9397442588726513,0.008822452276945114,0.019615191966295242,-0.010792739689350128,0.44977649426550204,16.683395385742188,21.748064041137695,-5.064668655395508,0.7671209425438789,0.7599084973335266,0.38333961367607117,0.37656888365745544,1.9823375154117593,0.08040093630552292,0.691787600517273,-0.61138666421175,0.11622199681723758,43.85091018676758,35.65169906616211,8.199211120605469,1.2299809359825866,85.704345703125,82.25863647460938,3.445709228515625,1.0418887228890452
v13_active_12d_hole_search_expanded_cycle01_20260618_184220_utc,active_probe_03917,coupled_full_random,genetic_algorithm,coverage_limited_sparse_failure,0.25615566968917847,0.21650922298431396,0.0396464467048645,1.1831166643082769,17.09564208984375,14.454873085021973,2.6407690048217773,1.1826905701135573,18.243698120117188,15.653694152832031,2.5900039672851562,1.1654564054975214,0.04742209613323212,0.06389476358890533,-0.016472667455673218,0.742190650212633,44.35272216796875,42.84024429321289,1.5124778747558594,1.0353050711943648,0.6243894100189209,0.5662433505058289,0.05814605951309204,1.1026874036774998,0.9680694341659546,0.7783097624778748,0.18975967168807983,1.2438099595255612,49.94154739379883,56.5615348815918,-6.619987487792969,0.8829595501315246,50.60081481933594,36.36773681640625,14.233078002929688,1.3913655137459322
v13_active_12d_hole_search_expanded_cycle02_20260618_185259_utc,active_probe_00240,coupled_full_random,genetic_algorithm,coverage_limited_sparse_failure,0.2432471662759781,0.2526756823062897,-0.009428516030311584,0.9626853049559297,15.420928001403809,17.402467727661133,-1.9815397262573242,0.8861345553247212,9.893951416015625,12.37247085571289,-2.4785194396972656,0.799674659281753,0.025720171630382538,0.02764817327260971,-0.0019280016422271729,0.9302665813318961,17.99081802368164,24.44980239868164,-6.458984375,0.7358267249084894,1.0008790493011475,0.5005170702934265,0.500361979007721,1.9996901378695942,1.226351022720337,0.870280385017395,0.3560706377029419,1.4091447352290087,41.882591247558594,64.35171508789062,-22.46912384033203,0.6508387723676978,68.14163970947266,54.787540435791016,13.35409927368164,1.2437433614916908
v13_active_12d_hole_search_expanded_cycle03_20260618_190539_utc,active_probe_04876,coupled_full_random,high_amp_oblique,mixed_failure,0.24238649010658264,0.21443849802017212,0.027947992086410522,1.130331038243802,15.993824005126953,13.767143249511719,2.2266807556152344,1.1617387656436429,11.364021301269531,12.761680603027344,-1.3976593017578125,0.8904799966999443,0.05047164857387543,0.012451723217964172,0.038019925355911255,4.05338664298767,39.34941101074219,34.10853576660156,5.240875244140625,1.153652894395789,0.6602474451065063,0.801419734954834,-0.14117228984832764,0.8238472504594815,0.31113678216934204,0.4522303640842438,-0.14109358191490173,0.6880050675044498,46.264461517333984,30.592138290405273,15.672323226928711,1.512299044877294,55.35189437866211,55.428409576416016,-0.07651519775390625,0.9986195671436608
