sweep_label,n,median_weighted_error,p95_weighted_error,median_nn_distance_12d,p95_nn_distance_12d,coverage_limited_failures,dense_failures
coupled_A1_B2_S3_random,139,0.001955531071871519,0.00400787335820496,0.28943362832069397,0.37711488008499144,0,0
coupled_A3_S3_random,2,0.0025911577977240086,0.0028335632756352424,0.20094428956508636,0.22916544675827027,0,0
coupled_B2_S3_random,4,0.0028623942052945495,0.004687826824374497,0.1955132558941841,0.2536800846457481,0,0
coupled_C3_A3_S3_random,42,0.006622854620218277,0.010631863120943306,0.24341630935668945,0.2840655446052551,0,0
coupled_full_random,2571,0.026888247579336166,0.08368603885173798,0.7779049873352051,1.1421068906784058,233,12
coupled_sparse_random,242,0.018819550052285194,0.06980682462453838,0.6964956820011139,0.8948364794254302,5,4
