relative_angle_A3_S3_category,n,median_weighted_error,p95_weighted_error,median_nn_distance_12d,p95_nn_distance_12d,coverage_limited_failures,dense_failures,angle_pair
aligned_or_anti_aligned,382,0.023251713253557682,0.09350623302161692,0.7514190077781677,1.172075694799423,38,0,A3_S3
anti_aligned,394,0.027716806158423424,0.08294586390256867,0.7779496014118195,1.1015495300292968,32,3,A3_S3
oblique,1592,0.02605349011719227,0.08227423131465912,0.7680245041847229,1.1376476228237151,140,10,A3_S3
orthogonal,632,0.02265824005007744,0.06987008377909655,0.718528151512146,1.06670406460762,28,3,A3_S3
,334,0.02502644993364811,0.07849741727113708,0.7430670261383057,1.1213400125503539,19,3,B2_S3
,530,0.03360757976770401,0.07898770794272421,0.8654710948467255,1.0819950938224792,59,5,B2_S3
,1456,0.023425346240401268,0.08054056763648987,0.7423202991485596,1.1288700997829437,95,5,B2_S3
,680,0.024534109979867935,0.08608751967549316,0.7492952942848206,1.1600660324096679,65,3,B2_S3
