active_probe_id,proposal_mode,sweep_label,sampling_relative_angle_bin,nn_distance_12d,overall_abs_error,weighted_abs_error,failure_class,C1_abs_error,C3_abs_error,A1_vector_error,B2_vector_error,A2_vector_error,S3_vector_error,A3_vector_error,true_S3_amp,true_A3_amp,true_B2_amp,relative_angle_A3_S3,relative_angle_B2_S3,relative_angle_A3_S3_category,relative_angle_B2_S3_category
active_probe_00000,far_nn,coupled_sparse_random,A1_S3:orthogonal;B2_S3:anti_aligned,0.6276854872703552,1.24805748462677,0.019552351906895638,not_top_failure,1.5801849365234375,0.007202029228210449,2.563646078109741,0.03324856981635094,0.3070870637893677,2.5115866661071777,4.627200603485107,70.29557800292969,0.0,1.783398151397705,129.241431126193,-174.5796634871494,oblique,anti_aligned
active_probe_00001,sobol_lhs,coupled_full_random,A1_S3:oblique;B2_S3:anti_aligned;A3_S3:oblique,0.572487473487854,1.742884635925293,0.027213769033551216,not_top_failure,1.7012557983398438,0.01783168315887451,1.315573811531067,0.10096118599176407,0.2818642556667328,8.443334579467773,4.097440719604492,41.343318939208984,61.39377975463867,2.482455015182495,63.00893137004459,162.1708083864503,oblique,anti_aligned
active_probe_00002,far_nn,coupled_sparse_random,B2_S3:oblique;A3_S3:orthogonal,0.7328121662139893,2.16866397857666,0.038598768413066864,not_top_failure,5.48431396484375,0.009959995746612549,4.960978031158447,0.3353177309036255,0.17758648097515106,6.597181797027588,3.0254857540130615,94.71560668945312,94.12690734863281,2.208979845046997,95.06352419236384,-38.157635819226215,orthogonal,oblique
active_probe_00003,genetic_algorithm,coupled_full_random,A1_S3:orthogonal;B2_S3:anti_aligned;A3_S3:oblique,1.0171144008636475,2.2290666103363037,0.03383030369877815,not_top_failure,2.8338775634765625,0.007131174206733704,4.094239711761475,0.05797360837459564,0.3532896041870117,5.732615947723389,10.06506061553955,100.0,95.38638305664062,3.0,133.81560861879916,166.20880391002208,oblique,anti_aligned
active_probe_00004,far_nn,coupled_full_random,A1_S3:oblique;B2_S3:oblique;A3_S3:oblique,0.6152154803276062,0.9031574130058289,0.014842517673969269,not_top_failure,1.0112571716308594,0.013111889362335205,1.3211030960083008,0.05767742171883583,0.24555866420269012,2.943208932876587,3.0171637535095215,19.60970115661621,95.6644287109375,1.8343876600265503,-138.18273810950114,119.2387864901167,oblique,oblique
active_probe_00005,far_nn,coupled_full_random,A1_S3:orthogonal;B2_S3:oblique;A3_S3:anti_aligned,0.6643633842468262,1.7729291915893555,0.026888247579336166,not_top_failure,0.4771537780761719,0.00411224365234375,1.8251606225967407,0.08140476793050766,0.34013786911964417,11.073724746704102,4.074667930603027,52.033782958984375,90.78531646728516,2.738903284072876,-160.64438312721006,66.50292371513535,anti_aligned,oblique
active_probe_00006,genetic_algorithm,coupled_full_random,A1_S3:oblique;B2_S3:oblique;A3_S3:oblique,1.188470482826233,2.82886004447937,0.05044113099575043,not_top_failure,4.3478851318359375,0.012778639793395996,4.82816743850708,0.24769753217697144,1.328310251235962,8.454096794128418,8.387383460998535,98.34728240966797,96.47139739990234,2.8202579021453857,52.257771953178775,154.60467377092425,oblique,oblique
active_probe_00007,far_nn,coupled_full_random,A1_S3:oblique;B2_S3:orthogonal;A3_S3:oblique,0.5078218579292297,1.2570186853408813,0.02457849122583866,not_top_failure,2.9410324096679688,0.012133479118347168,1.436693549156189,0.21355190873146057,0.4967133700847626,1.549591064453125,4.914365291595459,96.99797058105469,87.10873413085938,1.2710328102111816,140.0913369519364,-78.97679086296961,oblique,orthogonal
active_probe_00008,bridge_anchor,coupled_sparse_random,,0.3187651038169861,1.0686205625534058,0.014870415441691875,not_top_failure,2.747073173522949,0.007486581802368164,0.7954587936401367,0.019585559144616127,0.043698400259017944,5.0980916023254395,1.8557937145233154,0.0,73.4248275756836,0.0,91.33748485379465,-180.0,orthogonal,anti_aligned
active_probe_00009,residual_jitter,coupled_full_random,A1_S3:orthogonal;B2_S3:oblique;A3_S3:aligned_or_anti_aligned,1.0088528394699097,2.6788482666015625,0.04429594799876213,not_top_failure,6.0897064208984375,0.020442426204681396,4.539302825927734,0.21895545721054077,0.7173832058906555,10.330911636352539,4.521191120147705,83.96400451660156,95.7185287475586,2.104454517364502,-8.84727612805429,-47.20118081751832,aligned_or_anti_aligned,oblique
active_probe_00010,far_nn,coupled_full_random,A1_S3:orthogonal;B2_S3:oblique;A3_S3:aligned_or_anti_aligned,0.5927199721336365,0.8218762278556824,0.016283957287669182,not_top_failure,0.687530517578125,0.006300866603851318,1.435310959815979,0.189366415143013,0.21992255747318268,2.7285313606262207,3.5729196071624756,80.10033416748047,73.13253021240234,1.5376948118209839,1.6625377900135732,-23.861119813757227,aligned_or_anti_aligned,oblique
active_probe_00011,far_nn,coupled_sparse_random,B2_S3:orthogonal;A3_S3:anti_aligned,0.6932028532028198,1.2013311386108398,0.01887623593211174,not_top_failure,2.7726123332977295,0.01654994487762451,1.1460551023483276,0.10480597615242004,0.16453096270561218,6.170424461364746,1.2316398620605469,54.6987190246582,90.41021728515625,2.1441898345947266,176.14136841623127,-71.44011757921513,anti_aligned,orthogonal
active_probe_00012,far_nn,coupled_full_random,A1_S3:oblique;B2_S3:anti_aligned;A3_S3:orthogonal,0.6969176530838013,2.463752031326294,0.03406292572617531,not_top_failure,0.18787765502929688,0.0031300783157348633,1.271315336227417,0.05494760349392891,0.21582821011543274,16.59416961669922,3.209040641784668,46.97538375854492,91.48834991455078,1.7157355546951294,-100.45610572711713,179.7752173211294,orthogonal,anti_aligned
active_probe_00013,genetic_algorithm,coupled_full_random,A1_S3:orthogonal;B2_S3:aligned_or_anti_aligned;A3_S3:aligned_or_anti_aligned,1.1521419286727905,5.109271049499512,0.08130744844675064,coverage_limited_sparse_failure,1.5649490356445312,0.0021926648914813995,19.2623233795166,0.39439529180526733,0.17624256014823914,21.792457580566406,9.10660457611084,99.74427032470703,100.0,2.9927611351013184,4.56332724754796,-16.459462275930008,aligned_or_anti_aligned,aligned_or_anti_aligned
active_probe_00014,sobol_lhs,coupled_full_random,A1_S3:oblique;B2_S3:oblique;A3_S3:orthogonal,0.6468207836151123,0.3010573089122772,0.006019172258675098,not_top_failure,0.08175277709960938,0.00012946128845214844,0.5164433717727661,0.07304640859365463,0.03335042670369148,1.2245001792907715,1.0547839403152466,67.6894302368164,50.14523696899414,2.3000648021698,89.2589119473671,124.97816245474462,orthogonal,oblique
active_probe_00015,far_nn,coupled_full_random,A1_S3:oblique;B2_S3:orthogonal;A3_S3:oblique,0.7779049873352051,0.513687789440155,0.008404774591326714,not_top_failure,0.20746803283691406,0.0036998391151428223,1.4911925792694092,0.03700390085577965,0.01796838641166687,0.762656569480896,2.256507635116577,87.70018768310547,55.91448974609375,1.288580060005188,43.890411708847864,-109.13912540488724,oblique,orthogonal
active_probe_00016,far_nn,coupled_full_random,A1_S3:oblique;B2_S3:orthogonal;A3_S3:oblique,0.5918296575546265,0.5361040234565735,0.00963068287819624,not_top_failure,0.9201545715332031,0.0066111087799072266,1.2282754182815552,0.05092286318540573,0.22710879147052765,0.5297017097473145,2.249047040939331,41.330665588378906,22.684932708740234,2.628028631210327,146.26744961401323,107.69056310402289,oblique,orthogonal
active_probe_00017,far_nn,coupled_sparse_random,A1_S3:oblique;B2_S3:oblique;A3_S3:oblique,0.9152160286903381,1.667044997215271,0.028075551614165306,not_top_failure,0.9246031045913696,0.002893805503845215,1.9419933557510376,0.2327149212360382,0.09341057389974594,10.6835355758667,2.652808904647827,98.09273529052734,70.02080535888672,2.8544535636901855,45.398494504753046,-122.83458166015936,oblique,oblique
active_probe_00018,far_nn,coupled_full_random,A1_S3:aligned_or_anti_aligned;B2_S3:aligned_or_anti_aligned;A3_S3:anti_aligned,0.4898533225059509,3.8523380756378174,0.05434635281562805,not_top_failure,6.046417236328125,0.012027978897094727,4.357302188873291,0.09051839262247086,0.4410301744937897,22.860124588012695,2.6458539962768555,86.07166290283203,86.58958435058594,1.2015297412872314,172.6528153872303,22.493994927087414,anti_aligned,aligned_or_anti_aligned
active_probe_00019,far_nn,coupled_full_random,A1_S3:orthogonal;B2_S3:orthogonal;A3_S3:orthogonal,0.7304830551147461,2.076083183288574,0.03180834278464317,not_top_failure,4.333953857421875,0.01628899574279785,1.7842812538146973,0.12664225697517395,0.30624788999557495,9.517541885375977,3.218763589859009,94.72994995117188,21.633647918701172,2.839799165725708,-105.56487290049861,76.38186752443602,orthogonal,orthogonal
