epoch,train_loss,validation_loss
1,1.5519123077392578,2.448232412338257
25,0.35331103205680847,0.7359420657157898
50,0.1270364373922348,0.3100583851337433
75,0.09322354942560196,0.23668502271175385
100,0.07581975311040878,0.19908250868320465
125,0.06383518129587173,0.17263263463974
150,0.0547008290886879,0.15247668325901031
175,0.046943895518779755,0.1352446973323822
200,0.04067187011241913,0.12022711336612701
225,0.035837192088365555,0.10948003083467484
250,0.03196364641189575,0.10051968693733215
275,0.028613638132810593,0.09259446710348129
300,0.025974923744797707,0.0867839902639389
325,0.023793457075953484,0.08213844895362854
350,0.021860919892787933,0.07832552492618561
375,0.020287860184907913,0.07523246109485626
400,0.018940243870019913,0.07215405255556107
425,0.01772935502231121,0.07021256536245346
450,0.01657409407198429,0.06780104339122772
475,0.015587685629725456,0.06592556089162827
500,0.014811494387686253,0.06441644579172134
525,0.013890521600842476,0.06278999149799347
550,0.013100038282573223,0.061467260122299194
575,0.012489980086684227,0.06014680862426758
600,0.011786302551627159,0.059053704142570496
625,0.011198695749044418,0.05769789218902588
650,0.010661235079169273,0.056809380650520325
675,0.010133948177099228,0.05555427074432373
700,0.009742410853505135,0.055329158902168274
725,0.009270642884075642,0.054303545504808426
750,0.008871451020240784,0.05306103080511093
775,0.008529146201908588,0.0526859350502491
800,0.008135207928717136,0.05212675407528877
825,0.007876522839069366,0.05160169675946236
850,0.007601924706250429,0.050795357674360275
875,0.007285292726010084,0.05045556649565697
900,0.007059644907712936,0.05020025372505188
925,0.006785079836845398,0.04987616464495659
950,0.00653536943718791,0.04912008345127106
975,0.006339553743600845,0.0486937053501606
1000,0.006111830938607454,0.04869312793016434
1025,0.005967556498944759,0.04791761562228203
1050,0.005761549808084965,0.04774634912610054
1075,0.005618080496788025,0.04762047529220581
1100,0.005459044128656387,0.04701607674360275
1125,0.005279005970805883,0.04662751033902168
1150,0.005139473360031843,0.0463285818696022
1175,0.004971421789377928,0.04620319977402687
1200,0.004829369951039553,0.04620800167322159
1225,0.0047473362646996975,0.045837175101041794
1250,0.004581015091389418,0.04515126347541809
1275,0.004475163761526346,0.04523973539471626
1300,0.004340717103332281,0.04475851729512215
1325,0.004283085931092501,0.044737882912158966
1350,0.0041711642406880856,0.04421870782971382
1375,0.004040979780256748,0.04399457201361656
1400,0.004004120361059904,0.04426056891679764
1425,0.003859278978779912,0.043543875217437744
1450,0.0038284538313746452,0.04369404539465904
1475,0.003718916093930602,0.04357095807790756
1500,0.0036547293420881033,0.04359664395451546
1525,0.0036127620842307806,0.04328335076570511
1550,0.0034939611796289682,0.042905762791633606
1575,0.0034302452113479376,0.042725276201963425
1600,0.0033256912138313055,0.04243692383170128
1625,0.0032442037481814623,0.042351145297288895
1650,0.0032236515544354916,0.04219242185354233
1675,0.00325298891402781,0.04293544217944145
1700,0.003093693172559142,0.04193698987364769
1725,0.003032076871022582,0.041776690632104874
1750,0.0030054342932999134,0.04201757535338402
1775,0.0028920513577759266,0.04136842489242554
1800,0.0028737885877490044,0.04134804755449295
1825,0.002847515046596527,0.0411025695502758
1850,0.0027817869558930397,0.041139695793390274
1875,0.0027231774292886257,0.04093001037836075
1900,0.0027062951121479273,0.04103536903858185
1925,0.0026244542095810175,0.04042885825037956
1950,0.0025773001834750175,0.04047507047653198
1975,0.002562135923653841,0.04056866466999054
2000,0.002537138992920518,0.04015075042843819
2025,0.00255103618837893,0.041101276874542236
2050,0.002443118952214718,0.04004460573196411
2075,0.0023817347828298807,0.04006236419081688
2100,0.002362630795687437,0.04030892252922058
2125,0.002375189680606127,0.03988359495997429
2150,0.00229060766287148,0.039925891906023026
2175,0.0023009153082966805,0.04012583568692207
2200,0.0022106943652033806,0.0394841693341732
2225,0.0021666656248271465,0.03920166939496994
2250,0.002162724733352661,0.039207328110933304
2275,0.0021406079176813364,0.03938659280538559
2300,0.002091035945340991,0.03869694098830223
2325,0.002122197300195694,0.03941463306546211
2350,0.0020749932155013084,0.03887041658163071
2375,0.002053402364253998,0.03930540010333061
2400,0.0020328653044998646,0.03887850418686867
2425,0.0019905485678464174,0.03897808492183685
2450,0.001978314947336912,0.03842853754758835
2475,0.0019336796831339598,0.038531240075826645
2500,0.0018788162851706147,0.03853468596935272
2525,0.0019034254364669323,0.03858141973614693
2550,0.0018733100732788444,0.03832581266760826
2575,0.001820033765397966,0.03828027844429016
2600,0.0018383238930255175,0.03810859099030495
2625,0.0017964058788493276,0.038016874343156815
2650,0.0017843990353867412,0.038512855768203735
2675,0.0018228197004646063,0.038122162222862244
2700,0.0017363708466291428,0.03773706406354904
2725,0.0017112304922193289,0.03815159201622009
2750,0.001692267949692905,0.037756022065877914
2775,0.0016875951550900936,0.0374586395919323
2800,0.001676873303949833,0.03791915625333786
2825,0.0016453067073598504,0.03768276050686836
2850,0.0016344382893294096,0.03802337124943733
2875,0.0016243770951405168,0.03748999536037445
2900,0.0015961776953190565,0.03738999366760254
2925,0.0015955991111695766,0.03767562285065651
2950,0.0015514986589550972,0.037626635283231735
2975,0.001551853260025382,0.03738773986697197
3000,0.001532727386802435,0.037105415016412735
3025,0.001525450381450355,0.036994799971580505
3050,0.0015341793186962605,0.03727225214242935
3075,0.0015290251467376947,0.03724803403019905
3100,0.001491393195465207,0.03704342246055603
3125,0.0015130891697481275,0.03700029104948044
3150,0.0015012542717158794,0.03694732487201691
3175,0.0014516280498355627,0.03725510835647583
3200,0.0014426654670387506,0.03683305159211159
3225,0.0014309599064290524,0.03696078434586525
3250,0.001463497057557106,0.03751390054821968
3275,0.0013993008760735393,0.03681127354502678
3300,0.0014444919070228934,0.036889150738716125
3325,0.0013924965169280767,0.036916106939315796
3350,0.001348442630842328,0.036684487015008926
3375,0.0013640706893056631,0.03744072839617729
3400,0.0013310166541486979,0.03692513331770897
3425,0.001350322738289833,0.036911699920892715
3450,0.0013389958767220378,0.03663216903805733
3475,0.0013232000637799501,0.03669886291027069
3500,0.0013296407414600253,0.036440007388591766
3525,0.0013157603098079562,0.03657443821430206
3550,0.0012932696845382452,0.036675211042165756
3575,0.0012988053495064378,0.0365571603178978
3600,0.0012763257836923003,0.03626833111047745
3625,0.0012713054893538356,0.0368742011487484
3650,0.0012731716269627213,0.036590687930583954
3675,0.0012683648383244872,0.0366617776453495
3700,0.0012373975478112698,0.03660162165760994
3725,0.0012611126294359565,0.036474768072366714
3750,0.0012364350259304047,0.03639838099479675
3775,0.0012151695555076003,0.036179643124341965
3800,0.001198599929921329,0.03609231486916542
3825,0.0011853119358420372,0.03648687154054642
3850,0.0011849976144731045,0.036245618015527725
3875,0.0011785912793129683,0.03628349304199219
3900,0.0011825613910332322,0.036785341799259186
3925,0.0011678477749228477,0.03621131554245949
3950,0.0011687495280057192,0.03616061061620712
3975,0.00113726407289505,0.03638070449233055
4000,0.0011711723636835814,0.03603539615869522
4025,0.001155502861365676,0.03634107857942581
4050,0.0011553578078746796,0.03605838492512703
4075,0.0011553936637938023,0.03625476360321045
4100,0.0011250232346355915,0.03638123720884323
4125,0.0011317615862935781,0.036110278218984604
4150,0.00114109565038234,0.036142654716968536
4175,0.0011108744656667113,0.03663918748497963
4200,0.001124842558056116,0.03636498749256134
4225,0.00110527197830379,0.03582978621125221
4250,0.001091649173758924,0.036001045256853104
4275,0.0010914464946836233,0.03620787709951401
4300,0.001104408293031156,0.03592110425233841
4325,0.0010816031135618687,0.035879142582416534
4350,0.0010840718168765306,0.03609040006995201
4375,0.0011460420209914446,0.03625723347067833
4400,0.0010806318605318666,0.036330949515104294
4425,0.0010895688319578767,0.03657221049070358
4450,0.0010639815591275692,0.036158278584480286
4475,0.001100892317481339,0.036180682480335236
4500,0.0010569007135927677,0.036854494363069534
4525,0.0010693613439798355,0.03608442097902298
4550,0.0010760711738839746,0.03609313815832138
4575,0.0010451582493260503,0.036241862922906876
4600,0.0010715097887441516,0.03628245368599892
4625,0.0010532125597819686,0.03618329390883446
4650,0.0010508092818781734,0.03651855140924454
4675,0.0010435936274006963,0.03597274795174599
4700,0.0010205035796388984,0.036235883831977844
4725,0.001030627405270934,0.03596579656004906
4750,0.0010082920780405402,0.03603917360305786
4775,0.001006336766295135,0.036342427134513855
4800,0.001024283585138619,0.03682943433523178
4825,0.0009869732894003391,0.03596453741192818
4850,0.00101350131444633,0.03633485734462738
4875,0.0009770820615813136,0.035897135734558105
4900,0.0010139680234715343,0.036352213472127914
4925,0.0009683945681899786,0.03615496680140495
4950,0.0009968973463401198,0.03595055639743805
4975,0.000981115153990686,0.0359819121658802
5000,0.0009748738375492394,0.03608119115233421
5025,0.000990892993286252,0.03601839765906334
5050,0.000976863200776279,0.03639659658074379
5075,0.0009622063371352851,0.036425914615392685
5100,0.0011995220556855202,0.0377759113907814
5125,0.0009826505556702614,0.03647150471806526
5150,0.0009653456509113312,0.03628306835889816
5175,0.000965201179496944,0.03569658100605011
5200,0.0009408579207956791,0.03589591383934021
5225,0.000989809981547296,0.03599211201071739
5250,0.0009647490223869681,0.036361824721097946
5275,0.0009457706473767757,0.03597624599933624
5300,0.000947180378716439,0.03567660599946976
5325,0.000956922653131187,0.035624194890260696
5350,0.0009444208699278533,0.03604356199502945
5375,0.0009601113270036876,0.03571344166994095
5400,0.0009232538286596537,0.035450439900159836
5425,0.0009466905030421913,0.03586030378937721
5450,0.0009153700666502118,0.035743460059165955
5475,0.0009168180986307561,0.03584010526537895
5500,0.0009262780076824129,0.03603425249457359
5525,0.0008999549318104982,0.03601599112153053
5550,0.0009139630128629506,0.03609558567404747
5575,0.0009085107012651861,0.03638545796275139
5600,0.0008993931696750224,0.03608633205294609
5625,0.0009450487559661269,0.036079395562410355
5650,0.0009236269979737699,0.035956528037786484
5675,0.0008922062697820365,0.03615786135196686
5700,0.0009250337025150657,0.03652849420905113
5725,0.0008924826397560537,0.035969819873571396
5750,0.0008999056299217045,0.03606625646352768
5775,0.0008845261763781309,0.03618869185447693
5800,0.000889098912011832,0.03594029322266579
5825,0.000880309846252203,0.03591559827327728
5850,0.0008774064481258392,0.036203790456056595
5875,0.0008893691119737923,0.035814158618450165
5900,0.0009003363666124642,0.03596440702676773
5925,0.0008942243293859065,0.036457858979701996
5950,0.0008867451106198132,0.03602299466729164
5975,0.000862461922224611,0.03592858836054802
6000,0.0008802307420410216,0.03598052263259888
