epoch,train_loss,validation_loss
1,1.4728431701660156,2.190812349319458
25,0.2805577516555786,0.6238809823989868
50,0.11691063642501831,0.2914891242980957
75,0.0829673632979393,0.21677203476428986
100,0.0664987862110138,0.17872433364391327
125,0.05550573393702507,0.15408413112163544
150,0.046665940433740616,0.13389423489570618
175,0.03959773853421211,0.11832527071237564
200,0.034267399460077286,0.10652530938386917
225,0.030090240761637688,0.0968443751335144
250,0.026732847094535828,0.09006915986537933
275,0.023899273946881294,0.0838080495595932
300,0.021558772772550583,0.07842676341533661
325,0.019656185060739517,0.07498319447040558
350,0.018046865239739418,0.07137226313352585
375,0.016569532454013824,0.06908756494522095
400,0.015319285914301872,0.06610377132892609
425,0.01425341796129942,0.06454436480998993
450,0.01320862490683794,0.0624648816883564
475,0.012441512197256088,0.061209794133901596
500,0.011617586016654968,0.05981181561946869
525,0.01091304887086153,0.058123644441366196
550,0.010317808948457241,0.05708339437842369
575,0.00979359820485115,0.056558575481176376
600,0.009324789047241211,0.055528424680233
625,0.008785514160990715,0.05490121617913246
650,0.00834240484982729,0.054030418395996094
675,0.00791433360427618,0.05325397104024887
700,0.00755807152017951,0.05231143906712532
725,0.0071751633659005165,0.05188778415322304
750,0.006898036692291498,0.05173610895872116
775,0.006590971257537603,0.05072113126516342
800,0.006295943167060614,0.050094086676836014
825,0.006018377840518951,0.04970439523458481
850,0.005920466035604477,0.049395132809877396
875,0.005583955440670252,0.04877125844359398
900,0.0054047019220888615,0.04839188978075981
925,0.00520706083625555,0.04768676310777664
950,0.004997646901756525,0.04732050001621246
975,0.00485663628205657,0.04722648113965988
1000,0.004717222880572081,0.047048453241586685
1025,0.004573222249746323,0.046412453055381775
1050,0.004397854674607515,0.04594343528151512
1075,0.004216738045215607,0.045533809810876846
1100,0.004184061661362648,0.04578212648630142
1125,0.004038344137370586,0.0455295592546463
1150,0.0038776432629674673,0.045097481459379196
1175,0.0037719716783612967,0.04535876214504242
1200,0.0036918248515576124,0.04471110552549362
1225,0.0035728218499571085,0.044094156473875046
1250,0.003481816966086626,0.044043298810720444
1275,0.0033823393750935793,0.04452558606863022
1300,0.0033226311206817627,0.04373890534043312
1325,0.003231816226616502,0.04371817409992218
1350,0.0031459599267691374,0.043480586260557175
1375,0.003050339175388217,0.04300977662205696
1400,0.002947834087535739,0.042976539582014084
1425,0.002949936781078577,0.04265652224421501
1450,0.0028407303616404533,0.04269421845674515
1475,0.002795247593894601,0.04241721332073212
1500,0.0027200914919376373,0.042298268526792526
1525,0.0026678619906306267,0.04278740659356117
1550,0.0025933501310646534,0.0422871895134449
1575,0.0025440892204642296,0.04198864847421646
1600,0.0025097259785979986,0.04160381853580475
1625,0.002438409486785531,0.04171653464436531
1650,0.0024322743993252516,0.04167148470878601
1675,0.002335947472602129,0.04120922088623047
1700,0.0022934346925467253,0.04135894775390625
1725,0.0022730082273483276,0.04191327840089798
1750,0.002224801806733012,0.04101816937327385
1775,0.0021829057950526476,0.04073891416192055
1800,0.0021331922616809607,0.04145729914307594
1825,0.002095402218401432,0.04125555604696274
1850,0.0020586014725267887,0.04063023626804352
1875,0.0020473573822528124,0.04109020531177521
1900,0.001992105506360531,0.04045816510915756
1925,0.0019590137526392937,0.04082085192203522
1950,0.0019692701753228903,0.04026801884174347
1975,0.0018961605383083224,0.04055853560566902
2000,0.0018639598274603486,0.04005395248532295
2025,0.0018149919342249632,0.04006526246666908
2050,0.001804690109565854,0.04031741991639137
2075,0.001779412617906928,0.04014452174305916
2100,0.0017925732536241412,0.04041412100195885
2125,0.0017370828427374363,0.03975057974457741
2150,0.0016924983356148005,0.03995118662714958
2175,0.0016741222934797406,0.039942666888237
2200,0.0016688761534169316,0.03991878405213356
2225,0.0016365223564207554,0.039982836693525314
2250,0.0016048403922468424,0.039589736610651016
2275,0.0015866928733885288,0.039558861404657364
2300,0.0015617785975337029,0.03963906690478325
2325,0.0015632883878424764,0.03981248661875725
2350,0.0015462192241102457,0.04031989723443985
2375,0.0015031051589176059,0.03950836509466171
2400,0.0014861939707770944,0.03937189653515816
2425,0.0014467956498265266,0.039689790457487106
2450,0.0014059054665267467,0.03973858058452606
2475,0.0014250841923058033,0.03924413397908211
2500,0.0014235350536182523,0.03988305479288101
2525,0.001401666086167097,0.040023572742938995
2550,0.001373437000438571,0.03947646543383598
2575,0.0013608642620965838,0.039285074919462204
2600,0.0013603308470919728,0.03960972651839256
2625,0.001335970708169043,0.03905424848198891
2650,0.0013443089555948973,0.03938126936554909
2675,0.0012889221543446183,0.039031654596328735
2700,0.0012906144838780165,0.03927277401089668
2725,0.0013051942223683,0.03923982381820679
2750,0.0012767133302986622,0.03939734026789665
2775,0.001263116835616529,0.039379868656396866
2800,0.0012415648670867085,0.039256222546100616
