relative_angle_A3_S3_category,n,median_weighted_error,p95_weighted_error,median_nn_distance_12d,p95_nn_distance_12d,coverage_limited_failures,dense_failures,angle_pair
aligned_or_anti_aligned,1659,0.03297998011112213,0.08418076559901236,0.9186698794364929,1.1054039478302002,26,7,A3_S3
anti_aligned,1047,0.03121946193277836,0.08326140493154517,0.9052876830101013,1.0923674821853637,15,5,A3_S3
oblique,2055,0.04682915657758713,0.21990799456834792,0.8915883302688599,1.0924602508544923,281,12,A3_S3
orthogonal,792,0.03470230847597122,0.21209675148129462,0.8381948471069336,1.1195846140384673,103,2,A3_S3
,369,0.03113371878862381,0.09877699166536319,0.8099402189254761,1.140058445930481,15,0,B2_S3
,296,0.02583052683621645,0.07281050644814968,0.7681275010108948,1.0507535338401794,5,0,B2_S3
,2807,0.03195694461464882,0.10067180246114729,0.8881215453147888,1.101342749595642,95,13,B2_S3
,2081,0.05156992748379707,0.2247214913368225,0.9341201186180115,1.09794020652771,310,13,B2_S3
