active_probe_id,proposal_mode,sweep_label,sampling_relative_angle_bin,nn_distance_12d,overall_abs_error,weighted_abs_error,failure_class,C1_abs_error,C3_abs_error,A1_vector_error,B2_vector_error,A2_vector_error,S3_vector_error,A3_vector_error,true_S3_amp,true_A3_amp,true_B2_amp,relative_angle_A3_S3,relative_angle_B2_S3,relative_angle_A3_S3_category,relative_angle_B2_S3_category
active_probe_05101,genetic_algorithm,coupled_full_random,A1_S3:aligned_or_anti_aligned;B2_S3:orthogonal;A3_S3:orthogonal,1.1313778162002563,28.686567306518555,0.4167436361312866,coverage_limited_sparse_failure,106.53168487548828,0.4938652515411377,34.34872055053711,0.6053786277770996,4.094648838043213,117.99530029296875,18.978227615356445,100.0,100.0,3.0,-68.48046153397435,68.19463010252474,orthogonal,orthogonal
active_probe_00113,genetic_algorithm,coupled_full_random,A1_S3:aligned_or_anti_aligned;B2_S3:oblique;A3_S3:oblique,1.0984995365142822,23.00423240661621,0.3486633598804474,coverage_limited_sparse_failure,8.880661010742188,0.034368354827165604,54.58355712890625,1.3624634742736816,0.5675737857818604,63.654903411865234,82.65672302246094,95.32916259765625,100.0,2.7465767860412598,-30.5654674970269,44.43672831222142,oblique,oblique
active_probe_01827,genetic_algorithm,coupled_full_random,A1_S3:oblique;B2_S3:orthogonal;A3_S3:oblique,1.0742955207824707,22.47922706604004,0.34702256321907043,coverage_limited_sparse_failure,8.488517761230469,0.028419625014066696,48.87894058227539,1.765209674835205,0.772026777267456,69.11190032958984,94.78716278076172,100.0,100.0,3.0,57.95501997360458,94.8610229127745,oblique,orthogonal
active_probe_03160,genetic_algorithm,coupled_full_random,A1_S3:oblique;B2_S3:orthogonal;A3_S3:orthogonal,1.1435279846191406,21.91468048095703,0.3321039080619812,coverage_limited_sparse_failure,22.24414825439453,0.0071679651737213135,43.802955627441406,1.4948139190673828,0.666592538356781,74.01544952392578,64.70611572265625,100.0,94.71315002441406,3.0,74.06687888950734,110.97288182867726,orthogonal,orthogonal
active_probe_01660,genetic_algorithm,coupled_full_random,A1_S3:oblique;B2_S3:oblique;A3_S3:oblique,1.1221466064453125,18.732418060302734,0.30916863679885864,coverage_limited_sparse_failure,19.93408203125,0.053101375699043274,46.55316925048828,1.755346655845642,0.5683260560035706,46.82748031616211,77.13770294189453,95.32916259765625,100.0,2.6798384189605713,-129.4655471070473,23.33346608764674,oblique,oblique
active_probe_03465,genetic_algorithm,coupled_full_random,A1_S3:aligned_or_anti_aligned;B2_S3:aligned_or_anti_aligned;A3_S3:anti_aligned,1.140090823173523,20.198949813842773,0.29783040285110474,coverage_limited_sparse_failure,54.940391540527344,0.20110344886779785,22.607933044433594,0.4830150306224823,3.2565057277679443,63.05127716064453,55.35055923461914,96.11315155029297,95.53063201904297,2.8544836044311523,173.5376696916935,-8.646351216109196,anti_aligned,aligned_or_anti_aligned
active_probe_02451,genetic_algorithm,coupled_full_random,A1_S3:oblique;B2_S3:orthogonal;A3_S3:oblique,1.0778322219848633,18.63433265686035,0.2913039028644562,coverage_limited_sparse_failure,17.20909881591797,0.024643998593091965,33.22205352783203,1.6739364862442017,0.8551577925682068,47.92499923706055,92.0362319946289,96.40507507324219,100.0,3.0,56.67440509467812,88.4240619792937,oblique,orthogonal
active_probe_04431,genetic_algorithm,coupled_full_random,A1_S3:oblique;B2_S3:orthogonal;A3_S3:oblique,1.0328471660614014,18.52195167541504,0.28248918056488037,coverage_limited_sparse_failure,13.625175476074219,0.004919812083244324,37.474700927734375,1.427467942237854,0.6815687417984009,64.17029571533203,58.49910354614258,100.0,95.37459564208984,2.849355459213257,66.96222900245999,97.74894209480726,oblique,orthogonal
active_probe_04246,genetic_algorithm,coupled_full_random,A1_S3:oblique;B2_S3:oblique;A3_S3:orthogonal,1.0429866313934326,18.032079696655273,0.2804099917411804,coverage_limited_sparse_failure,17.077789306640625,0.007580071687698364,40.55064392089844,1.6374831199645996,0.8662416338920593,60.86279296875,61.786869049072266,100.0,94.71315002441406,3.0,71.87088172429424,117.01505405310138,orthogonal,oblique
active_probe_03464,genetic_algorithm,coupled_full_random,A1_S3:oblique;B2_S3:orthogonal;A3_S3:oblique,1.0227065086364746,18.084095001220703,0.2794293463230133,coverage_limited_sparse_failure,17.021541595458984,0.006325647234916687,35.06805419921875,1.5785589218139648,0.9457147717475891,63.19035339355469,57.65580749511719,96.40507507324219,100.0,3.0,57.95501849446947,89.70467537908502,oblique,orthogonal
