epoch,train_loss,validation_loss,train_s3_magnitude_loss,train_total_objective_loss,learning_rate
1,1.7853236198425293,2.11923885345459,0.0,0.9107885956764221,0.0006
25,0.6757626533508301,1.0016419887542725,0.0,0.433500200510025,0.0006
50,0.26422297954559326,0.4460267722606659,0.0,0.24439987540245056,0.0006
75,0.13394781947135925,0.2490762174129486,0.0,0.16709275543689728,0.0006
100,0.10169167816638947,0.1982467621564865,0.0,0.13910406827926636,0.0006
125,0.0846540704369545,0.16924791038036346,0.0,0.12336311489343643,0.0006
150,0.07298696786165237,0.1484813541173935,0.0,0.11300677061080933,0.0006
175,0.06344287842512131,0.13123466074466705,0.0,0.10448246449232101,0.0006
200,0.05529407784342766,0.1168854832649231,0.0,0.09702509641647339,0.0006
225,0.04880185052752495,0.10570768266916275,0.0,0.09114432334899902,0.0006
250,0.04399639368057251,0.0968836322426796,0.0,0.08603814989328384,0.0006
275,0.03991008549928665,0.08962074667215347,0.0,0.08141046017408371,0.0006
300,0.03668511286377907,0.08391327410936356,0.0,0.07745001465082169,0.0006
325,0.03404318913817406,0.07894379645586014,0.0,0.0742158368229866,0.0006
350,0.031548187136650085,0.07446958869695663,0.0,0.07114015519618988,0.0006
375,0.029533468186855316,0.07093368470668793,0.0,0.06821031868457794,0.0006
400,0.027780240401625633,0.06790716201066971,0.0,0.06579150259494781,0.0006
425,0.026223793625831604,0.06477325409650803,0.0,0.06373737752437592,0.0006
450,0.02478456310927868,0.06210385262966156,0.0,0.061515215784311295,0.0006
475,0.023395532742142677,0.0598825141787529,0.0,0.05953095853328705,0.0006
500,0.022089790552854538,0.057533491402864456,0.0,0.05766551196575165,0.0006
525,0.020974300801753998,0.05560397356748581,0.0,0.056083980947732925,0.0006
550,0.019923776388168335,0.05378440022468567,0.0,0.054366257041692734,0.0006
575,0.01898656226694584,0.05209508538246155,0.0,0.05318180471658707,0.0006
600,0.018132692202925682,0.05067466199398041,0.0,0.051773082464933395,0.0006
625,0.017398079857230186,0.04927433282136917,0.0,0.05037885159254074,0.0006
650,0.016295690089464188,0.04781225323677063,0.0,0.04905909299850464,0.0006
675,0.015593929216265678,0.04654207453131676,0.0,0.04821605980396271,0.0006
700,0.014959600754082203,0.04524683579802513,0.0,0.04685494676232338,0.0006
725,0.014381928369402885,0.04411961883306503,0.0,0.04594727233052254,0.0006
750,0.013804197311401367,0.043263278901576996,0.0,0.04504868760704994,0.0006
775,0.012940987013280392,0.04198898375034332,0.0,0.04397859051823616,0.0006
800,0.012468279339373112,0.04142211750149727,0.0,0.04287572577595711,0.0006
825,0.011936185881495476,0.0404130294919014,0.0,0.04212303087115288,0.0006
850,0.011421122588217258,0.03953161463141441,0.0,0.04127965494990349,0.0006
875,0.010935439728200436,0.03877262771129608,0.0,0.04033414646983147,0.0006
900,0.010618869215250015,0.038400620222091675,0.0,0.03978516906499863,0.0006
925,0.01017001736909151,0.03764347359538078,0.0,0.03869764879345894,0.0006
950,0.009867936372756958,0.03715495020151138,0.0,0.038240209221839905,0.0006
975,0.009450054727494717,0.036551475524902344,0.0,0.037579167634248734,0.0006
1000,0.009092551656067371,0.03596232458949089,0.0,0.03722948953509331,0.0006
1025,0.00896771252155304,0.035888828337192535,0.0,0.03636878356337547,0.0006
1050,0.008664192631840706,0.03525765612721443,0.0,0.03567346930503845,0.0006
1075,0.008180065080523491,0.0343884602189064,0.0,0.0351213738322258,0.0006
1100,0.007896481081843376,0.03401791676878929,0.0,0.03451310843229294,0.0006
1125,0.007602366153150797,0.0336359478533268,0.0,0.03419885039329529,0.0006
