epoch,train_loss,validation_loss,train_s3_magnitude_loss
1,1.817262053489685,2.1125121116638184,0.3834829032421112
25,0.5448992252349854,0.7713406085968018,0.11795546859502792
50,0.2093120515346527,0.3456721305847168,0.06094665825366974
75,0.15505632758140564,0.2735437750816345,0.048572130501270294
100,0.12533347308635712,0.2282368391752243,0.040138497948646545
125,0.096883125603199,0.1821463257074356,0.030476203188300133
150,0.08007160574197769,0.1546027809381485,0.02320503257215023
175,0.0686856061220169,0.13791078329086304,0.01947702281177044
200,0.060428500175476074,0.12547220289707184,0.016572268679738045
225,0.05397842451930046,0.11633973568677902,0.01414430420845747
250,0.04831652343273163,0.1079547107219696,0.012445047497749329
275,0.04415677487850189,0.10285685956478119,0.010644881054759026
300,0.040433384478092194,0.09750427305698395,0.00934600830078125
325,0.036952197551727295,0.09289837628602982,0.008137422613799572
350,0.03403688594698906,0.08928868919610977,0.006993464194238186
375,0.03145667165517807,0.08590352535247803,0.006221470423042774
400,0.02936224453151226,0.08309440314769745,0.005648174788802862
425,0.028020180761814117,0.08040807396173477,0.005085768643766642
450,0.025716060772538185,0.0782143771648407,0.004584843758493662
475,0.02424745447933674,0.07558504492044449,0.0041416361927986145
500,0.022877618670463562,0.07436974346637726,0.003763978835195303
525,0.021628089249134064,0.07202138006687164,0.003514958545565605
550,0.020948003977537155,0.07139351218938828,0.003168635070323944
575,0.019523147493600845,0.06951120495796204,0.003034569090232253
600,0.018603652715682983,0.06855563074350357,0.0028047736268490553
625,0.017870590090751648,0.0673828125,0.0025465073995292187
650,0.016900917515158653,0.06624817848205566,0.0024493925739079714
675,0.01631223037838936,0.06495876610279083,0.002292028395459056
700,0.015928592532873154,0.06411255151033401,0.0022257259115576744
725,0.01508166640996933,0.06353124976158142,0.002007813658565283
750,0.014470976777374744,0.06260992586612701,0.001927358447574079
775,0.01392312441021204,0.06164218485355377,0.0018847784958779812
800,0.013417258858680725,0.06130604445934296,0.0017502455739304423
825,0.013011372648179531,0.06064940243959427,0.0016907696845009923
850,0.012440956197679043,0.059537578374147415,0.0015981552423909307
875,0.012077206745743752,0.05914057418704033,0.0015284090768545866
900,0.011720512062311172,0.05873100459575653,0.0014704425120726228
925,0.011446269229054451,0.057865630835294724,0.0014451235765591264
950,0.010999866761267185,0.05717219412326813,0.0013905527302995324
975,0.010686862282454967,0.05695516988635063,0.001327061327174306
1000,0.010519475676119328,0.05648649111390114,0.0013390539679676294
1025,0.010102028958499432,0.056257717311382294,0.0012666176771745086
1050,0.009902599267661572,0.05567604675889015,0.0012145406799390912
