name,mean,std,min,max,p01,p99,near_constant
C1,-0.002125056926161051,37.295814514160156,-99.99899291992188,99.99993133544922,-95.29602813720703,95.32025146484375,False
C3,0.4575508236885071,0.6332042217254639,0.0,2.0,0.0,1.9570854902267456,False
A1_x,0.01511803362518549,16.6137752532959,-60.0,60.0,-49.9708137512207,50.025413513183594,False
A1_y,0.012656480073928833,16.632884979248047,-60.0,60.0,-49.87854766845703,49.9027099609375,False
B2_x,0.001745723420754075,0.8155235052108765,-3.0,3.0,-2.485159397125244,2.4899206161499023,False
B2_y,0.0002397815987933427,0.8155216574668884,-3.0,3.0,-2.481586456298828,2.4873604774475098,False
A2_x,0.004898523911833763,3.698862075805664,-16.0,16.0,-12.588912010192871,12.632084846496582,False
A2_y,-0.0007855163421481848,3.6996803283691406,-16.0,16.0,-12.580202102661133,12.585719108581543,False
S3_x,-0.04058941826224327,46.02458572387695,-100.0,100.0,-92.55353546142578,92.54231262207031,False
S3_y,0.053952813148498535,46.07888412475586,-100.0,100.0,-92.59304809570312,92.80083465576172,False
A3_x,-0.018249239772558212,26.053462982177734,-100.0,100.0,-81.74980926513672,81.7278060913086,False
A3_y,0.05323435738682747,26.103233337402344,-100.0,100.0,-81.86226654052734,81.91058349609375,False
