epoch,train_loss,test_loss
1,1.5953478813171387,1.5999685525894165
25,0.6775919795036316,0.6796042919158936
50,0.3213985562324524,0.32690325379371643
75,0.2170383781194687,0.2223825305700302
100,0.17988091707229614,0.18545079231262207
125,0.15761809051036835,0.16401350498199463
150,0.14118880033493042,0.14877811074256897
175,0.12639926373958588,0.13533861935138702
200,0.11323937773704529,0.12377732247114182
225,0.10282865911722183,0.11495642364025116
250,0.09467015415430069,0.10782825201749802
275,0.08813390135765076,0.10208994895219803
300,0.08252790570259094,0.09730412811040878
325,0.07799606770277023,0.09353434294462204
350,0.07387060672044754,0.09016045928001404
375,0.07028442621231079,0.0874098688364029
400,0.06713652610778809,0.0849122479557991
425,0.06407346576452255,0.08251415193080902
450,0.061650943011045456,0.08079168200492859
475,0.05909217521548271,0.07871438562870026
500,0.056716710329055786,0.0768752321600914
525,0.05477592349052429,0.07566257566213608
550,0.05284516513347626,0.07396448403596878
575,0.050953663885593414,0.07284840196371078
600,0.04910483583807945,0.07148964703083038
625,0.04749778285622597,0.07025375217199326
650,0.046062204986810684,0.0692056342959404
675,0.044537175446748734,0.06804478913545609
700,0.04342912510037422,0.06752587854862213
725,0.042291413992643356,0.0666579082608223
750,0.040898531675338745,0.06577042490243912
775,0.039692431688308716,0.06469419598579407
800,0.03856990113854408,0.06401536613702774
825,0.03743830695748329,0.06323137879371643
850,0.03663240000605583,0.06233399361371994
875,0.03548984229564667,0.061541713774204254
900,0.03469091281294823,0.06125456839799881
925,0.03373066708445549,0.06040199473500252
950,0.03301502764225006,0.059744011610746384
975,0.0322243869304657,0.05916272848844528
1000,0.03164162114262581,0.05913936346769333
1025,0.030896920710802078,0.058400958776474
1050,0.03000657632946968,0.057720839977264404
1075,0.029326550662517548,0.05732602998614311
1100,0.02882695011794567,0.05700726807117462
1125,0.028198987245559692,0.05662974342703819
1150,0.027675926685333252,0.056308548897504807
1175,0.027154840528964996,0.055973220616579056
1200,0.026630615815520287,0.05570165067911148
1225,0.025976985692977905,0.05528233200311661
1250,0.02560599334537983,0.055095650255680084
1275,0.02496039681136608,0.05479135364294052
1300,0.024642832577228546,0.05439472198486328
1325,0.024058625102043152,0.05392572656273842
1350,0.023748667910695076,0.05357809737324715
1375,0.023187344893813133,0.05348338931798935
1400,0.022959662601351738,0.05339854583144188
1425,0.022517042234539986,0.05309393256902695
1450,0.02210848405957222,0.052671778947114944
1475,0.02174309268593788,0.05253946781158447
1500,0.021417899057269096,0.05238821730017662
1525,0.021043166518211365,0.052181776612997055
1550,0.02074008248746395,0.05161287635564804
1575,0.020536864176392555,0.051755599677562714
1600,0.020088404417037964,0.05160032957792282
1625,0.019763492047786713,0.05130576342344284
1650,0.019440967589616776,0.050992753356695175
1675,0.019301483407616615,0.05067206546664238
1700,0.0189067255705595,0.05048377439379692
1725,0.01867949590086937,0.05033865198493004
1750,0.018364278599619865,0.050377972424030304
1775,0.018199078738689423,0.05038507655262947
1800,0.017988402396440506,0.05015803873538971
1825,0.01771404594182968,0.050054434686899185
1850,0.017607519403100014,0.04919106140732765
