split,row_key,row_index,sweep_label,dataset_version,nn_distance_12d,overall_abs_error,weighted_abs_error,C1_abs_error,C3_abs_error,A1_vector_error,B2_vector_error,A2_vector_error,S3_vector_error,A3_vector_error,true_S3_amp,true_A3_amp,true_B2_amp,relative_angle_A3_S3,relative_angle_B2_S3,nn_distance_quartile
blind,cbbf02896aeeeff408ea,560279,coupled_full_random,enhanced_v12_benchmark_v2,0.5900968909263611,8.216691017150879,0.11165909469127655,0.8656005859375,0.017816901206970215,13.796733066657536,0.07671780623147498,0.3569032822675685,55.220963167067424,2.33416835497968,94.51178648134669,77.36670588364987,2.9340560132908426,85.07607984497321,-159.48894259162904,q4_farthest
stress,cd084a506da738ee0085,570774,coupled_full_random,enhanced_v12_benchmark_v2,0.5554166436195374,7.249643802642822,0.10761922597885132,8.608283996582031,0.010465502738952637,10.658307148805717,0.4491806632100461,0.0275573389179554,39.265516665435335,10.194262492694333,62.09662402797885,88.25767491120973,0.7415976382591715,-105.38111881993933,-133.5842253492711,q4_farthest
stress,8a335710509408b0d097,502324,coupled_sparse_random,enhanced_v12_benchmark_v2,0.5098259449005127,7.75695276260376,0.10689722001552582,10.929448127746582,0.0674898624420166,11.987766179725119,0.13276603013617894,0.1839118125324248,61.137271586547044,5.126258732887432,84.77220422444493,28.615948895190996,2.670697597124832,123.30638605860156,64.70696245826366,q4_farthest
blind,13245b361dc827d57110,534763,coupled_full_random,enhanced_v12_benchmark_v2,0.46191489696502686,7.3740692138671875,0.10340575128793716,15.728555679321289,0.07207930088043213,10.778091283118911,0.1452525695865294,0.11921416056605431,34.72587894170834,6.230219636207836,96.18186169033355,42.42744550376754,2.951345722404584,-97.16644752444702,162.84495833639875,q4_farthest
stress,1a8e9b5835b6a7e7a2f9,532568,coupled_full_random,enhanced_v12_benchmark_v2,0.7616051435470581,7.206333637237549,0.10252928733825684,1.0908279418945312,0.02826106548309326,8.015902434458685,0.2532700625869195,0.676794589779239,47.64103589667031,7.140593271269942,86.66679909956383,72.95136537292399,2.9047428868606815,130.38939583713278,130.76394099297136,q4_farthest
stress,7c9977fcb1b4ec714ec6,568065,coupled_full_random,enhanced_v12_benchmark_v2,0.6450619101524353,7.202504634857178,0.10232748836278915,12.462356567382812,0.04378080368041992,5.929363605114507,0.22332033157969836,0.3322527401279185,37.34736476461001,11.002968071032232,60.6305284267558,65.7943019891992,1.6583146019425072,-114.0635140720546,27.928805554431392,q4_farthest
stress,374c1c03b680e0d9459d,568949,coupled_full_random,enhanced_v12_benchmark_v2,0.877260148525238,6.583822727203369,0.0931844711303711,3.6859359741210938,0.036475472152233124,16.71942319386938,0.07892939811822205,0.16867508578792148,33.775054581338786,17.95406312558435,79.52548695018828,59.78510652023682,2.5067332622130594,77.5134097859605,103.25642545422306,q4_farthest
stress,e4785c775000d6d260d3,560693,coupled_full_random,enhanced_v12_benchmark_v2,0.4892023205757141,6.324647426605225,0.0874067097902298,3.2424087524414062,0.006972908973693848,6.58563595179454,0.16467812712679814,0.2557987524141026,41.84489243183632,2.926777342716088,82.79994573217623,76.37084497847009,1.2534134311285785,56.187686036604134,-161.44883214960015,q4_farthest
stress,b2b8255d467623fd1776,564442,coupled_full_random,enhanced_v12_benchmark_v2,0.40663930773735046,5.980781078338623,0.08622375130653381,8.560768127441406,0.04840242862701416,10.027301028755852,0.1953756910275919,0.4487938383531161,36.73284476497852,1.3354244049704556,77.10817306083199,8.947711630460788,1.1848165337280696,-164.9910029041463,3.678232402183852,q4_farthest
stress,191429257a95f0eab55b,554145,coupled_full_random,enhanced_v12_benchmark_v2,0.8160576820373535,5.943025588989258,0.08449788391590118,8.635223388671875,0.031079530715942383,6.884880589811412,0.17983768731397867,0.2815481313936997,31.894327194394428,9.271532420564457,47.146786232721006,91.56392538255044,2.910730600244022,23.265667300954448,103.71219487558028,q4_farthest
