name,mean,std,min,max,p01,p99,near_constant
C1_value_real,8.56948184967041,9.982306480407715,-7.995270729064941,28.132347106933594,-5.561873912811279,25.723417282104492,False
C3_value_real,11.567414283752441,11.693496704101562,-10.429967880249023,35.20528793334961,-6.527614116668701,32.141685485839844,False
A1_value_real,0.0005503471475094557,1.6612013578414917,-7.548989772796631,7.548989772796631,-4.175191879272461,4.1744890213012695,False
A1_value_imag,-0.0001413090794812888,1.6634284257888794,-7.412135601043701,7.37886905670166,-4.180542945861816,4.203097820281982,False
B2_value_real,0.0009626580867916346,0.35194334387779236,-2.9555532932281494,3.128638744354248,-1.0532554388046265,1.0562885999679565,False
B2_value_imag,-5.793210948468186e-05,0.3513309061527252,-2.8825392723083496,2.986030101776123,-1.0525476932525635,1.0511341094970703,False
A2_value_real,0.0074640484526753426,8.317952156066895,-43.10150909423828,43.10150909423828,-28.79708480834961,28.861032485961914,False
A2_value_imag,0.0038938194047659636,8.337072372436523,-43.10150909423828,43.10150909423828,-28.899686813354492,28.96009063720703,False
S3_value_real,-0.001727737602777779,2.277846336364746,-8.716673851013184,9.198760986328125,-5.0947136878967285,5.09145450592041,False
S3_value_imag,0.013660624623298645,2.2790780067443848,-8.897261619567871,9.67784309387207,-5.101258754730225,5.104725360870361,False
A3_value_real,-0.0021148030646145344,1.0733394622802734,-5.7631378173828125,5.7631378173828125,-3.8382463455200195,3.8547112941741943,False
A3_value_imag,0.0009628594852983952,1.07496178150177,-5.740987300872803,5.740987300872803,-3.842243194580078,3.849921464920044,False
under_Xigma_mean,24.261613845825195,8.264871597290039,7.947157859802246,34.613128662109375,9.098365783691406,33.83744812011719,False
under_Xigma_h1_real,2.697195053100586,1.2635142803192139,-1.9620498418807983,7.558483123779297,0.468039333820343,5.402121543884277,False
under_Xigma_h1_imag,30.812374114990234,10.503084182739258,10.09371566772461,45.073551177978516,11.547633171081543,42.963096618652344,False
under_Xigma_h2_real,0.00018859408737625927,0.8765315413475037,-3.953184127807617,4.468573093414307,-2.1443653106689453,2.139136552810669,False
under_Xigma_h2_imag,0.0007613217458128929,0.8774524927139282,-3.8660969734191895,3.945894956588745,-2.1443123817443848,2.1543538570404053,False
under_Xigma_h3_real,2.6962730884552,1.2049691677093506,-2.79846453666687,7.780008316040039,0.29920700192451477,5.247066974639893,False
under_Xigma_h3_imag,10.06142807006836,3.5138232707977295,2.780717134475708,18.006328582763672,3.6957457065582275,14.829745292663574,False
under_Xigma_h4_real,-0.001558460877276957,0.5872029066085815,-3.426917314529419,3.4963035583496094,-1.9656693935394287,1.970564365386963,False
under_Xigma_h4_imag,0.0002747484832070768,0.5876312255859375,-3.5052452087402344,3.6231465339660645,-1.96815824508667,1.9695789813995361,False
under_Mu_mean,0.0007308184867724776,0.9988953471183777,-5.908773422241211,6.095693588256836,-3.1853976249694824,3.1915876865386963,False
under_Mu_h1_real,0.001855095149949193,0.42037197947502136,-4.3551530838012695,4.343911647796631,-1.3582651615142822,1.3695296049118042,False
under_Mu_h1_imag,2.7438923098088708e-06,0.42076215147972107,-4.372788429260254,4.26334810256958,-1.3640142679214478,1.361441969871521,False
under_Mu_h2_real,0.002047963673248887,3.4073097705841064,-15.928767204284668,16.68112564086914,-11.073492050170898,11.086604118347168,False
under_Mu_h2_imag,-0.0005531913484446704,2.32124924659729,-12.820355415344238,12.876237869262695,-7.729693412780762,7.7279462814331055,False
under_Mu_h3_real,0.004069020971655846,4.443289279937744,-21.672718048095703,21.91230010986328,-14.749900817871094,14.775493621826172,False
under_Mu_h3_imag,0.001666916417889297,4.452897548675537,-21.879785537719727,21.836681365966797,-14.784065246582031,14.821928977966309,False
under_Mu_h4_real,4.0465187339577824e-05,2.54935359954834,-14.009671211242676,13.62108325958252,-8.555952072143555,8.543225288391113,False
under_Mu_h4_imag,0.0033470503985881805,3.1879825592041016,-16.328838348388672,15.642389297485352,-10.494363784790039,10.499653816223145,False
under_Rho_mean,-0.35971224308013916,6.911604404449463,-23.832290649414062,15.321825981140137,-19.141326904296875,13.510702133178711,False
under_Rho_h1_real,-0.014781015925109386,1.30557382106781,-8.501541137695312,5.758960723876953,-2.89375901222229,2.5441932678222656,False
under_Rho_h1_imag,-0.4606955647468567,8.800023078918457,-30.3195743560791,19.820810317993164,-24.358552932739258,17.173660278320312,False
under_Rho_h2_real,-0.00041009639971889555,1.2090343236923218,-7.165917873382568,7.894103050231934,-2.6730873584747314,2.6919922828674316,False
under_Rho_h2_imag,0.01838799938559532,1.1987266540527344,-7.821163177490234,8.432846069335938,-2.620997905731201,2.688243865966797,False
under_Rho_h3_real,-0.03915629908442497,1.1272366046905518,-7.393413543701172,5.462003231048584,-2.796409845352173,2.736084461212158,False
under_Rho_h3_imag,-0.17286913096904755,3.0617549419403076,-12.498347282409668,8.747810363769531,-8.472384452819824,6.012934684753418,False
under_Rho_h4_real,0.03847596049308777,0.523601233959198,-5.776010990142822,6.2863874435424805,-1.6830365657806396,1.837239146232605,False
under_Rho_h4_imag,0.001462877611629665,0.5174804329872131,-6.142232894897461,6.085391044616699,-1.74672269821167,1.7668832540512085,False
over_Xigma_mean,32.831092834472656,2.2673630714416504,23.62076759338379,39.49320983886719,28.140338897705078,37.95370864868164,False
over_Xigma_h1_real,3.6496429443359375,0.8070820569992065,-1.7965773344039917,7.575857162475586,1.4315714836120605,5.474342346191406,False
over_Xigma_h1_imag,41.695621490478516,2.9008588790893555,29.516592025756836,50.262168884277344,35.70627975463867,48.210044860839844,False
over_Xigma_h2_real,-0.00036175298737362027,0.8093996047973633,-3.7744948863983154,3.7744948863983154,-2.070103168487549,2.069326877593994,False
over_Xigma_h2_imag,0.0009026305633597076,0.8103169798851013,-3.6909353733062744,3.768456220626831,-2.081869125366211,2.074212074279785,False
over_Xigma_h3_real,3.6481316089630127,0.714922308921814,-1.771089792251587,7.801621913909912,1.4781783819198608,5.427951812744141,False
over_Xigma_h3_imag,13.613043785095215,1.1735725402832031,6.792681694030762,18.127836227416992,10.773062705993652,16.061277389526367,False
over_Xigma_h4_real,0.0005563418962992728,0.538545548915863,-3.0775792598724365,3.2628045082092285,-1.9381358623504639,1.9268637895584106,False
over_Xigma_h4_imag,-0.0006881111185066402,0.5386453866958618,-3.452627182006836,3.4858040809631348,-1.9325441122055054,1.9275636672973633,False
over_Mu_mean,0.0004957882920280099,0.8683560490608215,-5.872220516204834,5.747031211853027,-3.060863971710205,3.064452886581421,False
over_Mu_h1_real,-0.0008924371795728803,0.2902284562587738,-4.124934673309326,4.165680408477783,-0.9011696577072144,0.9030699133872986,False
over_Mu_h1_imag,-6.067613503546454e-05,0.29038310050964355,-3.8501033782958984,3.896693468093872,-0.898409903049469,0.8989118337631226,False
over_Mu_h2_real,0.0018369812751188874,2.997131824493408,-16.075876235961914,15.87995719909668,-10.773340225219727,10.789750099182129,False
over_Mu_h2_imag,-0.0024974788539111614,2.0390336513519287,-13.280731201171875,13.04306697845459,-7.321934223175049,7.324024677276611,False
