split,nn_distance_quartile,group,n,median_weighted_abs_error,median_nn_distance_12d,p95_weighted_abs_error,p95_nn_distance_12d
blind,q1_nearest,blind:q1_nearest,7482,0.000919732527108863,0.027691730298101902,0.00456489622592926,0.04444056376814842
blind,q2,blind:q2,6864,0.002030298695899546,0.06152508035302162,0.008467986434698094,0.07916289344429969
blind,q3,blind:q3,6555,0.0043878499418497086,0.10826322436332703,0.013763684127479787,0.1991303592920303
blind,q4_farthest,blind:q4_farthest,6469,0.012306440621614456,0.46415576338768005,0.0329077288508415,0.6921041607856749
stress,q1_nearest,stress:q1_nearest,6385,0.0009378532995469868,0.026607569307088852,0.005406591016799201,0.04445434659719467
stress,q2,stress:q2,7003,0.002188697224482894,0.06164778023958206,0.007450027996674177,0.07914730980992317
stress,q3,stress:q3,7311,0.0031912236008793116,0.10829560458660126,0.01128854788839817,0.19412875920534134
stress,q4_farthest,stress:q4_farthest,7398,0.012654395308345556,0.4724286049604416,0.03505190461874008,0.7172228306531905
blind+stress,q1_nearest,blind+stress:q1_nearest,13867,0.0009257086785510182,0.02709829993546009,0.004899254627525806,0.044445942714810366
blind+stress,q2,blind+stress:q2,13867,0.0021271121222525835,0.0615803562104702,0.008000969886779782,0.07915560528635979
blind+stress,q3,blind+stress:q3,13866,0.003620806150138378,0.10826387256383896,0.012643625726923347,0.19652656838297844
blind+stress,q4_farthest,blind+stress:q4_farthest,13867,0.012509356252849102,0.4686751663684845,0.03417704179883,0.7042998790740964
