epoch,train_loss,validation_loss,train_s3_magnitude_loss,train_total_objective_loss,learning_rate
1,1.3911954164505005,1.6354831457138062,0.0,0.7792248725891113,0.0006
25,0.5405188202857971,0.7435083389282227,0.0,0.3895794749259949,0.0006
50,0.22271810472011566,0.3383413851261139,0.0,0.2154858261346817,0.0006
75,0.15203361213207245,0.2377168983221054,0.0,0.16576996445655823,0.0006
100,0.12297485023736954,0.19950133562088013,0.0,0.14217090606689453,0.0006
125,0.10590298473834991,0.1749975085258484,0.0,0.12787151336669922,0.0006
150,0.09188798069953918,0.15424074232578278,0.0,0.1171875149011612,0.0006
175,0.07925756275653839,0.13589000701904297,0.0,0.10866951197385788,0.0006
200,0.06737310439348221,0.11937735229730606,0.0,0.10134102404117584,0.0006
225,0.05872322618961334,0.10778507590293884,0.0,0.09446773678064346,0.0006
250,0.052536509931087494,0.09892142564058304,0.0,0.08877354860305786,0.0006
275,0.04787813127040863,0.09241198003292084,0.0,0.08399795740842819,0.0006
300,0.04385919123888016,0.08715047687292099,0.0,0.08008730411529541,0.0006
325,0.04055936262011528,0.08262717723846436,0.0,0.07663480192422867,0.0006
350,0.03773995116353035,0.07918629795312881,0.0,0.07367249578237534,0.0006
375,0.03505813702940941,0.0754886046051979,0.0,0.07076706737279892,0.0006
400,0.032725073397159576,0.07277144491672516,0.0,0.0681428462266922,0.0006
425,0.03042340837419033,0.069777712225914,0.0,0.06582999229431152,0.0006
450,0.028659341856837273,0.06779207289218903,0.0,0.06370694190263748,0.0006
475,0.026693066582083702,0.06567899137735367,0.0,0.06117919832468033,0.0006
500,0.025345642119646072,0.06359213590621948,0.0,0.05951828509569168,0.0006
525,0.02354498952627182,0.06201349198818207,0.0,0.057792648673057556,0.0006
550,0.02176678366959095,0.05998259782791138,0.0,0.05616973340511322,0.0006
575,0.020597027614712715,0.058558493852615356,0.0,0.05467632785439491,0.0006
600,0.01966412551701069,0.05733959376811981,0.0,0.053352516144514084,0.0006
625,0.018445512279868126,0.05643106624484062,0.0,0.051856521517038345,0.0006
650,0.0171943549066782,0.054836079478263855,0.0,0.050602320581674576,0.0006
675,0.016207415610551834,0.05379475653171539,0.0,0.04878276586532593,0.0006
700,0.01540311612188816,0.052797507494688034,0.0,0.04773305356502533,0.0006
725,0.014840292744338512,0.051806867122650146,0.0,0.04720441251993179,0.0006
750,0.01392284780740738,0.05091303959488869,0.0,0.045706842094659805,0.0006
775,0.013026400469243526,0.04967457428574562,0.0,0.0450117364525795,0.0006
800,0.012429949827492237,0.04916524142026901,0.0,0.04398057237267494,0.0006
825,0.012195363640785217,0.04835690185427666,0.0,0.043163787573575974,0.0006
850,0.011216217651963234,0.04751152917742729,0.0,0.04227226972579956,0.0006
875,0.01078565139323473,0.04745125398039818,0.0,0.04167619347572327,0.0006
900,0.01064007356762886,0.046591244637966156,0.0,0.04078615456819534,0.0006
925,0.00975670013576746,0.04622155800461769,0.0,0.04001501202583313,0.0006
950,0.009336840361356735,0.04514015465974808,0.0,0.03898227959871292,0.0006
975,0.00913891289383173,0.04490550234913826,0.0,0.03868096321821213,0.0006
1000,0.008906657807528973,0.04427935555577278,0.0,0.038255784660577774,0.0006
1025,0.00843958742916584,0.04407510161399841,0.0,0.037452176213264465,0.0006
1050,0.007999761030077934,0.04352858290076256,0.0,0.036930255591869354,0.0006
1075,0.00767504284158349,0.04344320297241211,0.0,0.03623693436384201,0.0006
