sweep_label,n_rows
S3_high_random,6000
coupled_A1_A2_B2_random,35000
coupled_A1_B2_S3_random,20000
coupled_A1_B2_random,2000
coupled_A1_S3_random,5000
coupled_A2_B2_random,20000
coupled_A3_S3_random,13000
coupled_B2_S3_random,13000
coupled_C1_A1_C3_A2_random,45000
coupled_C1_C3_A2_random,20000
coupled_C1_C3_random,4000
coupled_C1_S3_random,3000
coupled_C3_A3_S3_random,18000
coupled_C3_B2_random,1000
coupled_full_random,210000
coupled_sparse_random,85000
