cycle,run_name,n_probes,weighted_error_median,weighted_error_p95,weighted_error_max,nn_distance_median,nn_distance_p95,error_nn_spearman,coverage_limited_sparse_failure,mixed_failure,dense_model_feature_loss_failure,top_failure_median_nn_distance
1,v13_active_12d_hole_search_20260618_025610_utc,3000,0.024750251322984695,0.08157751709222794,0.23996931314468384,0.7541408538818359,1.129651665687561,0.7268325283147252,238,46,16,1.0649870038032532
2,v13_active_12d_hole_search_expanded_cycle01_20260618_184220_utc,5553,0.03532499074935913,0.17003022134304047,0.4167436361312866,0.8985945582389832,1.1008195877075195,0.5195697594750944,425,216,26,1.0121276378631592
3,v13_active_12d_hole_search_expanded_cycle02_20260618_185259_utc,5658,0.03397234529256821,0.08431403338909149,0.35496535897254944,0.9140455722808838,1.2083457708358765,0.5903710992816245,585,139,68,1.11789071559906
4,v13_active_12d_hole_search_expanded_cycle03_20260618_190539_utc,5995,0.03452911972999573,0.08175557851791382,0.3942805826663971,0.9092305898666382,1.1144638061523438,0.48197394410394173,488,187,165,1.0053882598876953
5,v13_active_12d_hole_search_expanded_cycle04_20260618_191721_utc,6500,0.03029719740152359,0.07102079689502716,0.3704718351364136,0.8772144317626953,1.0638371706008911,0.45215658485498467,514,177,284,0.9769743084907532
6,v13_active_12d_hole_search_v2_focused_sparse_20260618_030707_utc,3790,0.029183480888605118,0.31026995182037354,0.41623207926750183,0.8035714626312256,1.130496621131897,0.663024367989307,374,4,1,1.0987353324890137
7,v13_active_12d_hole_search_v3_high_amp_alignment_20260618_031730_utc,4600,0.03292689472436905,0.08708783984184265,0.4263642430305481,0.9154312014579773,1.145148754119873,0.5574908538821746,247,128,85,1.0564919710159302
8,v13_active_12d_hole_search_v4_dense_alignment_bridge_20260618_032829_utc,4800,0.032639533281326294,0.08609282225370407,0.35760223865509033,0.880341649055481,1.108024001121521,0.5331108249107648,347,83,50,1.0525929927825928
