cycle,run_name,n_probes,weighted_error_median,weighted_error_p95,weighted_error_max,nn_distance_median,nn_distance_p95,error_nn_spearman,coverage_limited_sparse_failure,mixed_failure,dense_model_feature_loss_failure,top_failure_median_nn_distance
1,v13_active_12d_hole_search_20260618_025610_utc,3000,0.024750251322984695,0.08157751709222794,0.23996931314468384,0.7541408538818359,1.129651665687561,0.7268325283147252,238,46,16,1.0649870038032532
2,v13_active_12d_hole_search_v2_focused_sparse_20260618_030707_utc,3790,0.029183480888605118,0.31026995182037354,0.41623207926750183,0.8035714626312256,1.130496621131897,0.663024367989307,374,4,1,1.0987353324890137
3,v13_active_12d_hole_search_v3_high_amp_alignment_20260618_031730_utc,4600,0.03292689472436905,0.08708783984184265,0.4263642430305481,0.9154312014579773,1.145148754119873,0.5574908538821746,247,128,85,1.0564919710159302
4,v13_active_12d_hole_search_v4_dense_alignment_bridge_20260618_032829_utc,4800,0.032639533281326294,0.08609282225370407,0.35760223865509033,0.880341649055481,1.108024001121521,0.5331108249107648,347,83,50,1.0525929927825928
