group,metric,unit,n,mean_abs_or_mae,rmse,median,p95,max
all_active_top_failures,C1,nm,1619,7.824761663021093,10.362244123912065,6.016990661621094,19.29638671875,80.4208984375
all_active_top_failures,C3,mm,1619,0.026331714197413432,0.03443882044713547,0.021450631320476532,0.06188644468784332,0.3587501049041748
all_active_top_failures,A1 vector,nm,1619,17.412021525521716,22.119438318812843,12.29625415802002,44.3062744140625,65.55990600585938
all_active_top_failures,B2 vector,um,1619,0.5578980726731217,0.7297482193431353,0.3850089907646179,1.5711230039596558,1.7859910726547241
all_active_top_failures,A2 vector,um,1619,0.5539167044210288,0.6619792817946926,0.46841976046562195,1.227758526802063,3.3846688270568848
all_active_top_failures,S3 vector,um,1619,36.829182870451355,41.186834601410766,33.53730773925781,68.2252426147461,135.63963317871094
all_active_top_failures,A3 vector,um,1619,24.748565631471642,33.82280642082122,16.211048126220703,75.13228607177734,104.10733795166016
all_active_top_failures,overall mixed-unit abs,,1619,9.33592360280339,11.058757930602905,6.294124126434326,21.987218856811523,28.906661987304688
all_active_top_failures,weighted normalized abs,,1619,0.14226187841070514,0.16909730693981645,0.09465544670820236,0.3423568904399872,0.4263642430305481
all_active_top_failures,12D NN distance,,1619,1.0482824153558497,1.0550708570871372,1.07239830493927,1.2027814388275146,1.3182621002197266
coverage_limited_sparse_failure,C1,nm,1206,8.180644658074451,10.606739449888627,6.413032531738281,19.77147674560547,41.47270965576172
coverage_limited_sparse_failure,C3,mm,1206,0.025652702292350196,0.03183660514187632,0.021382760256528854,0.06034756824374199,0.12783217430114746
coverage_limited_sparse_failure,A1 vector,nm,1206,19.41341191031051,24.414631624871166,13.374359130859375,45.07411193847656,65.55990600585938
coverage_limited_sparse_failure,B2 vector,um,1206,0.6229722806759129,0.8054757347462281,0.43813738226890564,1.5969969034194946,1.7859910726547241
coverage_limited_sparse_failure,A2 vector,um,1206,0.5954920312622948,0.7002128759118893,0.5110082030296326,1.2373268604278564,2.9014925956726074
coverage_limited_sparse_failure,S3 vector,um,1206,39.39179814356081,43.72525603618325,39.008888244628906,68.86729431152344,107.5396499633789
coverage_limited_sparse_failure,A3 vector,um,1206,28.123576007202686,37.66614115658893,18.31171417236328,77.35385131835938,104.10733795166016
coverage_limited_sparse_failure,overall mixed-unit abs,,1206,10.26153109382041,12.116574642267295,6.575987339019775,22.424240112304688,28.906661987304688
coverage_limited_sparse_failure,weighted normalized abs,,1206,0.1566490976828742,0.18567310310519003,0.09806343913078308,0.3471660912036896,0.4263642430305481
coverage_limited_sparse_failure,12D NN distance,,1206,1.1013700484142177,1.103157502340225,1.0996662378311157,1.2152173519134521,1.3182621002197266
mixed_failure,C1,nm,261,5.988369317575433,7.64245555994173,5.199993133544922,16.470932006835938,24.09723663330078
mixed_failure,C3,mm,261,0.023222514724366053,0.02955117268385905,0.0190851092338562,0.055995941162109375,0.11262619495391846
mixed_failure,A1 vector,nm,261,12.009121239870444,13.78806455084819,11.243050575256348,26.0780029296875,40.122501373291016
mixed_failure,B2 vector,um,261,0.382687345136428,0.4464982046600777,0.3436853885650635,0.781894326210022,1.3192999362945557
mixed_failure,A2 vector,um,261,0.42201855443275293,0.4946212441644235,0.39997005462646484,0.8449655175209045,1.799389362335205
mixed_failure,S3 vector,um,261,28.079130041188208,30.412770312917136,25.102012634277344,47.947181701660156,82.41592407226562
mixed_failure,A3 vector,um,261,16.008224902481867,19.810967507148128,12.913175582885742,41.11880874633789,82.25863647460938
mixed_failure,overall mixed-unit abs,,261,6.553151967424999,6.965209196177037,5.780548095703125,11.574313163757324,21.062929153442383
mixed_failure,weighted normalized abs,,261,0.09973668532581621,0.10551942944234784,0.08725833892822266,0.17530342936515808,0.3156249225139618
mixed_failure,12D NN distance,,261,0.9546437220098415,0.9566418746927959,0.9643135070800781,1.0388131141662598,1.0455633401870728
dense_model_feature_loss_failure,C1,nm,152,8.15439001911957,12.279402799443403,5.70356559753418,17.793113708496094,80.4208984375
dense_model_feature_loss_failure,C3,mm,152,0.03705796038143729,0.055600650214385774,0.028694987297058105,0.09952855110168457,0.3587501049041748
dense_model_feature_loss_failure,A1 vector,nm,152,10.809917384072355,12.471803642192684,9.513911247253418,21.841737747192383,37.70288848876953
dense_model_feature_loss_failure,B2 vector,um,152,0.3424408689606935,0.42685193834659857,0.2744510769844055,0.8041976690292358,1.5006285905838013
dense_model_feature_loss_failure,A2 vector,um,152,0.45053231610769506,0.5978000017557703,0.37500032782554626,1.0186209678649902,3.3846688270568848
dense_model_feature_loss_failure,S3 vector,um,152,31.521615561686065,36.204994203829315,28.79376983642578,57.905025482177734,135.63963317871094
dense_model_feature_loss_failure,A3 vector,um,152,12.978607849463037,15.950819415705167,11.094919204711914,28.47367286682129,49.40581512451172
dense_model_feature_loss_failure,overall mixed-unit abs,,152,6.770270725614147,7.380947059424156,5.791316986083984,11.217185974121094,28.296951293945312
dense_model_feature_loss_failure,weighted normalized abs,,152,0.10113088467991665,0.10915973970000069,0.08671391755342484,0.16172251105308533,0.39592573046684265
dense_model_feature_loss_failure,12D NN distance,,152,0.7878614515066147,0.7935691731763326,0.79933762550354,0.9060221910476685,0.9149674773216248
