source_run,cluster_id,n,median_weighted_error,median_nn_distance_12d,dominant_regime,dominant_failure_class,center_C1,center_C3,center_A1_x,center_A1_y,center_B2_x,center_B2_y,center_A2_x,center_A2_y,center_S3_x,center_S3_y,center_A3_x,center_A3_y
v13_active_12d_hole_search_v2_focused_sparse_20260618_030707_utc,0,276,0.32434067130088806,1.1084749102592468,coupled_full_random,coverage_limited_sparse_failure,-97.64960944134253,0.08987597702745942,-23.532088791114695,52.94192933345188,-0.25784587525371244,2.907506573891295,2.4378119030515193,15.598893884299457,42.01382070347886,89.78169844807069,34.092067260241116,91.90352680372135
v13_active_12d_hole_search_v2_focused_sparse_20260618_030707_utc,5,2,0.2788732722401619,0.9261504709720612,coupled_full_random,dense_model_feature_loss_failure,3.614643096923831,0.9691300634294748,33.440524101257324,38.12062072753906,-2.294013261795044,1.7760252356529236,-11.947222709655762,-9.637493133544922,67.86338043212892,21.289268493652344,-18.984447479248047,79.99489974975586
v13_active_12d_hole_search_v2_focused_sparse_20260618_030707_utc,6,9,0.2612927556037903,1.2158972024917603,coupled_full_random,coverage_limited_sparse_failure,-90.38351440429689,0.11817779143651326,-4.979696048630608,52.67980575561523,-2.7526647514767117,-0.6497519910335541,0.5913268195258247,14.865527470906576,48.843712700737846,74.2714263068305,45.01123513115777,68.43578444586859
v13_active_12d_hole_search_v2_focused_sparse_20260618_030707_utc,4,82,0.25311195850372314,1.0508614778518677,coupled_full_random,coverage_limited_sparse_failure,-95.77327123502411,0.14264822714939351,-18.963858729455527,54.25015244832851,-1.322293155855022,2.5545003472304932,9.870620012283325,12.16201278058494,43.04807481823899,89.24359140163523,42.57711375631939,88.59460802776059
v13_active_12d_hole_search_v2_focused_sparse_20260618_030707_utc,1,5,0.19187621772289276,1.0339300632476807,coupled_full_random,coverage_limited_sparse_failure,-88.60406494140625,0.12666786909103395,21.70723876953125,-53.93929367065429,2.5660227179527286,-0.4075588539242744,6.869027709960937,12.609185600280762,-4.853374099731446,-73.0286819458008,-33.31939964294433,-92.93658447265625
v13_active_12d_hole_search_v2_focused_sparse_20260618_030707_utc,2,4,0.18722455203533173,1.106431007385254,coupled_full_random,coverage_limited_sparse_failure,-77.08039093017578,0.13090966269373894,51.77512550354003,-28.437160968780518,2.05768983066082,1.9118184447288513,-7.560788929462433,-12.62612271308899,70.38151866197586,-27.081153869628906,-82.48309230804443,-30.29871845245361
v13_active_12d_hole_search_v2_focused_sparse_20260618_030707_utc,3,1,0.16631288826465607,0.9090256094932556,coupled_full_random,mixed_failure,81.3288345336914,1.2462362051010132,-21.111608505249023,30.275455474853516,2.944734811782837,0.5731810927391052,-3.4391331672668457,1.2473119497299194,-88.5754165649414,21.170303344726562,-22.975378036499023,-93.0545425415039
v13_active_12d_hole_search_v4_dense_alignment_bridge_20260618_032829_utc,0,31,0.10763347148895264,1.0290898084640503,coupled_full_random,coverage_limited_sparse_failure,87.71122652484524,1.7749723348646396,18.17191867674551,50.93626920638546,-1.3273710171061177,1.3066232963314939,5.345849806262601,7.250763547035954,74.1755259421564,38.42150340541717,14.261267308265936,62.353602932345474
v13_active_12d_hole_search_v4_dense_alignment_bridge_20260618_032829_utc,6,57,0.10267747938632965,1.0412583351135254,coupled_full_random,coverage_limited_sparse_failure,-86.51740311739732,0.8279496813029573,38.3401646540876,16.387401792041043,1.1677356297640424,1.909547529526447,-7.144508943223117,-6.061668351815458,75.48058551654479,29.15133745628491,10.525801717189317,75.08669476760062
v13_active_12d_hole_search_v4_dense_alignment_bridge_20260618_032829_utc,7,43,0.09774218499660492,1.0186470746994019,coupled_full_random,coverage_limited_sparse_failure,-76.24571511911789,0.4556897151782069,-28.49750736147859,8.219355633092478,-1.640542424175628,-0.3146950004752293,-4.345419254413871,9.937232495740403,-35.69075809523116,40.67833128086356,-2.0464613382206402,71.79305883895519
