distribution,method,n_query,p1,p5,median,p95,p99,max
training_only_to_training_only_excluding_self,sklearn,250000,0.005829303232021632,0.04090832583606244,0.15071994066238403,1.0303212761878968,1.14504425406456,1.503586769104004
parent_to_new_training_only,sklearn,1075000,0.003917575646191836,0.010752021335065367,0.32566089928150177,1.1315694391727444,1.250629631280899,1.5823336839675903
validation_to_v9_parent_train,sklearn,26977,0.001020091800019145,0.0028726138174533845,0.09783343225717545,0.8923070549964904,0.992339334487915,1.1624983549118042
validation_to_v11_full_train,sklearn,26977,0.0009656145749613643,0.0027391603682190187,0.09446659684181213,0.8817047595977783,0.9781174278259277,1.1624983549118042
blind_to_v9_parent_train,sklearn,27370,0.0011281296296510846,0.0030496023944579067,0.10551239550113678,0.8895733922719955,0.990931646227837,1.1242228746414185
blind_to_v11_full_train,sklearn,27370,0.001066703654360026,0.0028677377267740667,0.10174888372421265,0.875978273153305,0.9756339186429978,1.1242228746414185
stress_to_v9_parent_train,sklearn,28097,0.0011576234363019464,0.003122456232085824,0.10983459651470184,0.9230253934860226,1.0141379928588867,1.220363736152649
stress_to_v11_full_train,sklearn,28097,0.0010899465810507536,0.002928482368588448,0.10546638071537018,0.9090770125389098,1.0002750110626222,1.2202125787734985
