stage,run_dir,weighted_score,true_hard_target_normalized_mae,overall_normalized_mae,blind_normalized_mae,stress_normalized_mae,S3_high_magnitude_mae,S3_high_magnitude_bias,S3_high_magnitude_slope,S3_high_mean_abs_angle_error_deg,S3_high_p95_abs_angle_error_deg,B2_magnitude_mae,B2_mean_abs_angle_error_deg,A3_magnitude_mae,A3_mean_abs_angle_error_deg,passed,failure_reasons
baseline,training_results/model_selection_loop/D66_grouped_width320_lr6e-4_dropout0.075_targeted25k_bin_diag_20260609_073514_utc,0.05945300707235359,0.029472595453262328,0.021880537271499634,0.015752246603369713,0.01647765003144741,10.839306831359863,-8.766539573669434,0.6711227266242965,5.702573776245117,20.931655883789062,0.09327175468206406,5.06442403793335,2.189054489135742,4.1849870681762695,,
v3_s3magloss,training_results/model_selection_loop/D66_grouped_width320_lr6e-4_dropout0.075_targeted25k_s3magloss_20260610_052422_utc,0.06344536912197676,0.03164411373436451,0.023514218628406525,0.01661534607410431,0.017160413786768913,10.188681602478027,-7.83918571472168,0.6693615292298792,6.296823978424072,20.39971923828125,0.09942492842674255,5.7085747718811035,2.470792055130005,4.296109199523926,False,S3 high slope gain too small: -0.0018; B2_mean_abs_angle_error_deg degraded by more than 10%; A3_magnitude_mae degraded by more than 10%
