sweep_label,n_rows
coupled_A1_B2_random,2500
coupled_A1_S3_random,3500
coupled_A2_B2_random,2500
coupled_A3_S3_random,500
coupled_C1_C3_random,3500
coupled_C3_A3_S3_random,3000
coupled_C3_B2_random,2000
coupled_full_random,4000
coupled_sparse_random,3500
