name,mean,std,min,max,p01,p99,near_constant
C1,-0.10162957012653351,36.85318374633789,-80.0,80.0,-77.77510070800781,77.64791107177734,False
C3,0.6363962292671204,0.6658620238304138,0.0,2.0,0.0,1.9669866561889648,False
A1_x,0.11635302007198334,19.768550872802734,-60.0,60.0,-52.74806213378906,52.6099967956543,False
A1_y,0.12649224698543549,19.33976936340332,-60.0,60.0,-51.404727935791016,51.855323791503906,False
B2_x,0.017897948622703552,0.8968134522438049,-3.0,3.0,-2.576848030090332,2.6056578159332275,False
B2_y,0.006083957385271788,0.8602074384689331,-3.0,3.0,-2.500828266143799,2.5302717685699463,False
A2_x,0.018405985087156296,5.162083148956299,-16.0,16.0,-13.758167266845703,13.861957550048828,False
A2_y,-0.008935158140957355,5.173002243041992,-16.0,16.0,-13.814964294433594,13.838432312011719,False
S3_x,0.012279731221497059,29.837589263916016,-100.0,100.0,-85.80159759521484,85.86225128173828,False
S3_y,-0.07018117606639862,29.541501998901367,-100.0,100.0,-85.16983795166016,83.72147369384766,False
A3_x,-0.03705235943198204,27.139116287231445,-100.0,100.0,-82.9465560913086,82.65595245361328,False
A3_y,-0.06622916460037231,27.171125411987305,-100.0,100.0,-81.29813385009766,83.8132095336914,False
