relative_angle_A3_S3_category,n,median_weighted_error,p95_weighted_error,median_nn_distance_12d,p95_nn_distance_12d,coverage_limited_failures,dense_failures,angle_pair
aligned_or_anti_aligned,1307,0.03496052324771881,0.08891199454665184,0.9673178791999817,1.1150589108467102,54,30,A3_S3
anti_aligned,929,0.03341794013977051,0.08198962211608876,0.9586803317070007,1.124997615814209,30,17,A3_S3
oblique,1317,0.02848955988883972,0.08314301967620856,0.7970232367515564,1.1637779712677003,57,24,A3_S3
orthogonal,1047,0.034961916506290436,0.09068908169865607,1.0131596326828003,1.1555225014686583,106,14,A3_S3
,329,0.025382913649082184,0.08396169692277908,0.7783828377723694,1.1328919649124145,17,6,B2_S3
,905,0.040377549827098846,0.09089727997779846,1.0555816888809204,1.1675837516784668,98,3,B2_S3
,2333,0.032283615320920944,0.08732018172740937,0.899092972278595,1.1361556768417358,101,57,B2_S3
,1033,0.031178217381238937,0.08253195285797119,0.8964036703109741,1.1277145624160767,31,19,B2_S3
