split,row_key,row_index,sweep_label,dataset_version,nn_distance_12d,overall_abs_error,weighted_abs_error,C1_abs_error,C3_abs_error,A1_vector_error,B2_vector_error,A2_vector_error,S3_vector_error,A3_vector_error,true_S3_amp,true_A3_amp,true_B2_amp,relative_angle_A3_S3,relative_angle_B2_S3,nn_distance_quartile
stress,1a8e9b5835b6a7e7a2f9,532568,coupled_full_random,enhanced_v12_benchmark_v2,0.6942563056945801,13.859036445617676,0.1864825189113617,1.5722579956054688,0.047571659088134766,12.274770763812974,0.1197829324198041,0.5927930686344333,96.05902631355555,10.49063161499732,86.66679909956383,72.95136537292399,2.9047428868606815,130.38939583713278,130.76394099297136,q4_farthest
stress,5e8019897ae2dfb72934,512461,coupled_C1_C3_A2_random,enhanced_v12_benchmark_v2,0.10142531245946884,8.53010082244873,0.12742756307125092,93.6101303100586,0.4551665782928467,0.18052702783991093,0.08164552877959709,1.3951523944200757,1.8707200166605207,2.6146522583542597,0.0,0.0,0.0,0.0,0.0,q3
stress,e37f8554506c1732aa1a,849,coupled_full_random,parent_cached_dataset,0.505062997341156,8.718785285949707,0.12167484313249588,14.086494445800781,0.05350041389465332,12.134760238277787,0.22777389247845573,0.5096692938100019,54.64848459612352,7.87840704914288,58.880111476980666,69.00126983004157,0.9489324372010182,62.343860033958094,-152.9737198741444,q4_farthest
stress,8a335710509408b0d097,502324,coupled_sparse_random,enhanced_v12_benchmark_v2,0.5098259449005127,8.700754165649414,0.11715630441904068,14.473993301391602,0.07316696643829346,10.406736129586957,0.05616462981159786,0.20563843847501093,69.0600673296217,4.550072159110877,84.77220422444493,28.615948895190996,2.670697597124832,123.30638605860156,64.70696245826366,q4_farthest
blind,13245b361dc827d57110,534763,coupled_full_random,enhanced_v12_benchmark_v2,0.46191489696502686,6.984666347503662,0.09682145714759827,12.445690155029297,0.057855963706970215,11.282897335879074,0.11610106757210263,0.16678854128734782,38.69490344405227,4.416566014391146,96.18186169033355,42.42744550376754,2.951345722404584,-97.16644752444702,162.84495833639875,q4_farthest
stress,971d72ce615c22534285,556022,coupled_sparse_random,enhanced_v12_benchmark_v2,0.4485674202442169,6.82183313369751,0.09525775909423828,17.378524780273438,0.06675124168395996,6.075822122668162,0.21265871560183452,0.10939313174965247,43.468156008529064,1.4387001111806204,96.81543895820793,0.0,0.9781457601024209,-168.92103329752965,-46.004283579135944,q4_farthest
stress,e4785c775000d6d260d3,560693,coupled_full_random,enhanced_v12_benchmark_v2,0.4892023205757141,6.96050500869751,0.09471914917230606,4.924671173095703,0.015678882598876953,7.665576487187187,0.15385925041101223,0.1387205852783077,45.66419524895513,2.114684218351652,82.79994573217623,76.37084497847009,1.2534134311285785,56.187686036604134,-161.44883214960015,q4_farthest
stress,465c492f39ff9af36598,521016,coupled_full_random,enhanced_v12_benchmark_v2,0.8494489192962646,6.419792652130127,0.09432873874902725,12.765548706054688,0.06837737560272217,5.032473138049222,0.44684870771143687,0.26424359899544353,41.588194740863884,3.687195656452369,98.03003158221435,87.13826308889396,2.2273543613468534,26.622675144496156,-40.83156314742794,q4_farthest
blind,33e7f2f6ac3a29c64db5,539654,coupled_sparse_random,enhanced_v12_benchmark_v2,0.4271775186061859,6.6346893310546875,0.09266393631696701,2.4444336891174316,0.007324814796447754,8.020856582296126,0.21151974550890518,0.1728469109577091,43.75214923983823,3.224950882269622,71.03319116889965,34.95415415676446,1.3024915454570667,133.15280388174375,151.65893685475504,q4_farthest
blind,23ae45ac8012efadd687,555664,coupled_full_random,enhanced_v12_benchmark_v2,0.5309514403343201,6.7205119132995605,0.09262003749608994,8.4467191696167,0.03552043437957764,6.922953617273263,0.14951659203903864,0.053291290881326815,40.411914380936054,5.647071999671961,74.88161758868176,82.78839838021737,0.7421367289661165,-146.9639675929486,-22.03521039940381,q4_farthest
