name,mean,std,min,max,p01,p99,near_constant
C1,-5.246218204498291,42.83845138549805,-100.0,100.0,-99.55403137207031,95.56034851074219,False
C3,0.49447137117385864,0.638067901134491,0.0,2.0,0.0,1.963801383972168,False
A1_x,0.6931992769241333,18.868896484375,-60.0,60.0,-50.227352142333984,52.92650604248047,False
A1_y,1.2601258754730225,19.546951293945312,-60.0,60.0,-50.58199691772461,55.11714172363281,False
B2_x,0.015096541494131088,0.9631034135818481,-3.0,3.0,-2.6358225345611572,2.5693111419677734,False
B2_y,0.08101853728294373,0.9932236671447754,-3.0,3.0,-2.533881902694702,2.8199946880340576,False
A2_x,-0.13852998614311218,4.583293914794922,-16.0,16.0,-14.839603424072266,13.180882453918457,False
A2_y,0.3997683525085449,4.53852653503418,-16.0,16.0,-13.037100791931152,15.104473114013672,False
S3_x,1.789942979812622,47.797664642333984,-100.0,100.0,-92.67511749267578,93.09773254394531,False
S3_y,1.1697736978530884,49.56019973754883,-100.0,100.0,-93.71654510498047,93.73985290527344,False
A3_x,1.548712968826294,31.713058471679688,-100.0,100.0,-85.53067016601562,93.12986755371094,False
A3_y,2.100975513458252,31.750185012817383,-100.0,100.0,-84.51734924316406,91.51885986328125,False
