epoch,train_loss,validation_loss,train_s3_magnitude_loss,train_total_objective_loss,learning_rate
1,1.757379174232483,1.9701193571090698,0.0,1.79228675365448,0.0006
25,0.4930753707885742,0.6749704480171204,0.0,0.5525517463684082,0.0006
50,0.17625610530376434,0.2743361294269562,0.0,0.2296958565711975,0.0006
75,0.1301848292350769,0.21390345692634583,0.0,0.17641156911849976,0.0006
100,0.10389024019241333,0.17499321699142456,0.0,0.14849239587783813,0.0006
125,0.08309652656316757,0.1445179581642151,0.0,0.12694351375102997,0.0006
150,0.06860534846782684,0.12558534741401672,0.0,0.11287202686071396,0.0006
175,0.05861014127731323,0.11248663812875748,0.0,0.10184328258037567,0.0006
200,0.05147215723991394,0.10331229120492935,0.0,0.09307973831892014,0.0006
225,0.04564303159713745,0.09555070847272873,0.0,0.08662255853414536,0.0006
250,0.04139423742890358,0.0896708071231842,0.0,0.08079428970813751,0.0006
275,0.03727888688445091,0.08473239094018936,0.0,0.07595304399728775,0.0006
300,0.0339742936193943,0.08034535497426987,0.0,0.07211567461490631,0.0006
325,0.03099767491221428,0.07707022875547409,0.0,0.06816305965185165,0.0006
350,0.02855432964861393,0.07388348877429962,0.0,0.06478605419397354,0.0006
375,0.026431793347001076,0.0713992491364479,0.0,0.062110599130392075,0.0006
400,0.02464178204536438,0.06874308735132217,0.0,0.05905790999531746,0.0006
425,0.023016873747110367,0.06725449860095978,0.0,0.057551730424165726,0.0006
450,0.02143181674182415,0.06558991223573685,0.0,0.05491199716925621,0.0006
475,0.0201914981007576,0.06423746794462204,0.0,0.05333072692155838,0.0006
500,0.019214097410440445,0.06246895715594292,0.0,0.05105956271290779,0.0006
525,0.018001850694417953,0.06128772720694542,0.0,0.04971383139491081,0.0006
550,0.016844961792230606,0.060104843229055405,0.0,0.048388611525297165,0.0006
575,0.01603650115430355,0.058570876717567444,0.0,0.04678497835993767,0.0006
600,0.01530873216688633,0.05802541598677635,0.0,0.0449974350631237,0.0006
625,0.014570795930922031,0.05674392357468605,0.0,0.04375949129462242,0.0006
650,0.014153321273624897,0.05634934827685356,0.0,0.043017804622650146,0.0006
675,0.013271333649754524,0.05532029643654823,0.0,0.041535187512636185,0.0006
700,0.013025972060859203,0.05479072779417038,0.0,0.04083820432424545,0.0006
725,0.012192776426672935,0.053951822221279144,0.0,0.039913877844810486,0.0006
750,0.011745746247470379,0.05324534699320793,0.0,0.03862190991640091,0.0006
775,0.011270026676356792,0.05271735042333603,0.0,0.037846170365810394,0.0006
800,0.010964001528918743,0.05218294635415077,0.0,0.0369487963616848,0.0006
825,0.010533260181546211,0.0516391396522522,0.0,0.03578002005815506,0.0006
850,0.010162645019590855,0.051110122352838516,0.0,0.035643696784973145,0.0006
875,0.009865080006420612,0.05052478238940239,0.0,0.034816887229681015,0.0006
900,0.009489945136010647,0.0501636378467083,0.0,0.033988721668720245,0.0006
925,0.0091873062774539,0.0496329590678215,0.0,0.033337198197841644,0.0006
