sweep_label,n_rows
coupled_C1_A1_C3_A2_random,2500
coupled_C1_A1_C3_random,2500
coupled_C1_A1_S3_random,1500
coupled_C1_A1_random,3000
coupled_C1_A2_random,2500
coupled_C1_A3_random,2000
coupled_C1_B2_random,1000
coupled_C1_C3_A2_random,2500
coupled_C1_C3_S3_random,2000
coupled_C1_C3_random,3500
coupled_C1_S3_random,2500
