epoch,train_loss,validation_loss,train_s3_magnitude_loss
1,1.621220588684082,1.8804954290390015,0.05528676137328148
25,0.41969242691993713,0.5937049388885498,0.02456820011138916
50,0.17342481017112732,0.27876147627830505,0.01389850303530693
75,0.1248016282916069,0.21044056117534637,0.01231175847351551
100,0.09558142721652985,0.1658281534910202,0.009291224181652069
125,0.07568265497684479,0.1373624950647354,0.006989304907619953
150,0.0640161857008934,0.12233520299196243,0.005727873183786869
175,0.05576048418879509,0.11123696714639664,0.0050079417414963245
200,0.04940957948565483,0.10329077392816544,0.004376207012683153
225,0.04438595101237297,0.0967867448925972,0.0038377312012016773
250,0.039966873824596405,0.09078651666641235,0.0034361581783741713
275,0.03613031655550003,0.08560755103826523,0.003106239251792431
300,0.03303588554263115,0.0817166268825531,0.002721191383898258
325,0.030045831575989723,0.0782768577337265,0.0024373563937842846
350,0.027754878625273705,0.07518645375967026,0.002179221948608756
375,0.02557264268398285,0.07213786989450455,0.0019505794625729322
400,0.023741180077195168,0.07023906707763672,0.0017460023518651724
425,0.022192450240254402,0.06833939999341965,0.0015935739502310753
450,0.020760592073202133,0.06608913838863373,0.0014415421755984426
475,0.01948085054755211,0.06392576545476913,0.0012884633615612984
500,0.018371393904089928,0.06315361708402634,0.0011998260160908103
525,0.017655694857239723,0.06133069470524788,0.001094345236197114
550,0.016460565850138664,0.060363274067640305,0.0010172860929742455
575,0.015487308613955975,0.05911828204989433,0.0009175955783575773
600,0.014765697531402111,0.057656414806842804,0.0008794942987151444
625,0.014176946133375168,0.05706896632909775,0.000806119351182133
650,0.013409231789410114,0.05620390921831131,0.0007604495622217655
675,0.012866657227277756,0.055575791746377945,0.0006857037078589201
700,0.012437109835445881,0.054744064807891846,0.0006587133393622935
725,0.011840117163956165,0.05368192493915558,0.0006123041966930032
750,0.011393501423299313,0.052960049360990524,0.0005877303192391992
775,0.011009963229298592,0.052119240164756775,0.0005367445410229266
800,0.010734619572758675,0.051681626588106155,0.000526012503542006
825,0.010245181620121002,0.05136118456721306,0.0004916423349641263
850,0.009955000132322311,0.05066867545247078,0.00047212233766913414
875,0.009610950946807861,0.05043022334575653,0.00044781845645047724
900,0.009328813292086124,0.049803316593170166,0.00043270556489005685
925,0.009072825312614441,0.04953398555517197,0.00040614083991385996
950,0.008831272833049297,0.04927225038409233,0.0003868105704896152
975,0.008568675257265568,0.048772670328617096,0.00039040984120219946
1000,0.008294248953461647,0.04819248989224434,0.00036351001472212374
1025,0.008094904944300652,0.04810100048780441,0.00035357195883989334
1050,0.007777945138514042,0.04776481166481972,0.00033165764762088656
1075,0.0076118591241538525,0.04742790758609772,0.0003194710297975689
1100,0.007469228934496641,0.0471004918217659,0.00031225779093801975
1125,0.007219394203275442,0.04699389263987541,0.000297997408779338
1150,0.007067096419632435,0.046440668404102325,0.00029043693211860955
1175,0.006893624551594257,0.045829471200704575,0.0002808848803397268
1200,0.006737849209457636,0.04609054699540138,0.0002814992913044989
1225,0.00659169303253293,0.045877955853939056,0.00026740229805000126
1250,0.0064827511087059975,0.04544232413172722,0.00026013070601038635
1275,0.006330867763608694,0.045317284762859344,0.00025280751287937164
1300,0.006167239975184202,0.04485122114419937,0.0002462981210555881
1325,0.006064906716346741,0.04461246728897095,0.0002375816402491182
1350,0.0059935045428574085,0.04479270800948143,0.00023406695981975645
1375,0.005799698177725077,0.04440697655081749,0.00022673154307994992
1400,0.005726048722863197,0.04439542442560196,0.00023042371321935207
1425,0.005536071956157684,0.043973565101623535,0.00022110431746114045
1450,0.0054540978744626045,0.043733321130275726,0.00021241881768219173
1475,0.005366520024836063,0.043742772191762924,0.00021107356587890536
1500,0.005268315318971872,0.04342639818787575,0.00020297231094446033
1525,0.005192649085074663,0.043418481945991516,0.00019968301057815552
1550,0.00508712837472558,0.04327154532074928,0.0001989206502912566
1575,0.005002601072192192,0.043054550886154175,0.00019214990606997162
1600,0.004938005469739437,0.042973779141902924,0.000191691899090074
