v15_failure_class,n,v13_weighted_rmse,v15_weighted_rmse,delta_weighted_rmse,relative_weighted_rmse_change
coverage_limited_sparse_failure,927,0.11172292351498746,0.10850983235296859,-0.003213091162018872,-0.028759461898505017
dense_model_feature_loss_failure,397,0.11001875170132028,0.10010819014054669,-0.009910561560773593,-0.09008065813797686
mixed_failure,491,0.09838930437526146,0.09953616160585403,0.001146857230592574,0.011656320144498697
not_top_failure,2173,0.16603875311298721,0.04020513929945866,-0.12583361381352856,-0.7578568945762946
