sweep_label,n,v13_weighted_rmse,v15_weighted_rmse,delta_weighted_rmse,relative_weighted_rmse_change
coupled_sparse_random,22,0.08911126377690402,0.08114933293774841,-0.007961930839155612,-0.08934819799087168
coupled_full_random,3966,0.14278912277184028,0.0763608816209634,-0.06642824115087688,-0.46521919780277077
