sweep_label,n_rows
S3_high_random,8000
active_failed_subspace_jitter,90000
coupled_A1_B2_S3_random,25000
coupled_A1_S3_random,4000
coupled_A3_S3_random,22000
coupled_B2_S3_random,22000
coupled_C3_A3_S3_random,16000
coupled_full_random,45000
coupled_sparse_random,18000
