active_probe_id,proposal_mode,sweep_label,sampling_relative_angle_bin,nn_distance_12d,overall_abs_error,weighted_abs_error,failure_class,C1_abs_error,C3_abs_error,A1_vector_error,B2_vector_error,A2_vector_error,S3_vector_error,A3_vector_error,true_S3_amp,true_A3_amp,true_B2_amp,relative_angle_A3_S3,relative_angle_B2_S3,relative_angle_A3_S3_category,relative_angle_B2_S3_category
active_probe_00178,genetic_algorithm,coupled_full_random,A1_S3:oblique;B2_S3:oblique;A3_S3:aligned_or_anti_aligned,1.1164382696151733,26.980615615844727,0.41623207926750183,coverage_limited_sparse_failure,22.81023406982422,0.045306481420993805,55.431182861328125,1.7791789770126343,1.2092503309249878,83.23905944824219,81.1631088256836,99.13560485839844,100.0,3.0,7.325659355559651,40.60637728856341,aligned_or_anti_aligned,oblique
active_probe_00583,genetic_algorithm,coupled_full_random,A1_S3:oblique;B2_S3:oblique;A3_S3:aligned_or_anti_aligned,1.2188348770141602,28.305635452270508,0.4142875373363495,coverage_limited_sparse_failure,15.118293762207031,0.030966866761446,52.71677780151367,1.0952637195587158,0.5781463384628296,100.76754760742188,104.10733795166016,100.0,100.0,2.8323304653167725,13.648893500453681,133.53575570802332,aligned_or_anti_aligned,oblique
active_probe_00324,genetic_algorithm,coupled_full_random,A1_S3:aligned_or_anti_aligned;B2_S3:orthogonal;A3_S3:aligned_or_anti_aligned,0.7935155034065247,28.296951293945312,0.39592573046684265,dense_model_feature_loss_failure,80.4208984375,0.3587501049041748,31.431076049804688,0.2361122965812683,2.4495115280151367,135.63963317871094,28.149654388427734,100.0,87.27411651611328,3.0,15.759700477030322,100.20366791110268,aligned_or_anti_aligned,orthogonal
active_probe_00463,genetic_algorithm,coupled_full_random,A1_S3:oblique;B2_S3:oblique;A3_S3:aligned_or_anti_aligned,1.111415982246399,24.903905868530273,0.38454118371009827,coverage_limited_sparse_failure,16.405532836914062,0.02513386681675911,49.30809783935547,1.6153303384780884,1.2272526025772095,75.7144546508789,85.75907897949219,100.0,100.0,3.0,7.325658996684069,40.606376929687826,aligned_or_anti_aligned,oblique
active_probe_02110,genetic_algorithm,coupled_full_random,A1_S3:oblique;B2_S3:oblique;A3_S3:aligned_or_anti_aligned,1.1167824268341064,24.52996826171875,0.38218504190444946,coverage_limited_sparse_failure,20.763099670410156,0.03781542181968689,49.280147552490234,1.761739730834961,1.2678074836730957,72.85790252685547,76.1821517944336,100.0,100.0,3.0,0.2860564601236888,30.03093482240061,aligned_or_anti_aligned,oblique
active_probe_01990,genetic_algorithm,coupled_full_random,A1_S3:oblique;B2_S3:oblique;A3_S3:aligned_or_anti_aligned,1.1076680421829224,24.410348892211914,0.3790203332901001,coverage_limited_sparse_failure,20.38623809814453,0.03759613633155823,48.97306823730469,1.7541600465774536,1.2376796007156372,72.60697937011719,75.96232604980469,100.0,96.84696960449219,3.0,0.28605815691685166,28.55238494019605,aligned_or_anti_aligned,oblique
active_probe_02043,genetic_algorithm,coupled_full_random,A1_S3:oblique;B2_S3:oblique;A3_S3:aligned_or_anti_aligned,1.1390459537506104,24.398635864257812,0.3771246075630188,coverage_limited_sparse_failure,17.29888916015625,0.027017343789339066,46.627952575683594,1.6298527717590332,1.2481712102890015,64.42894744873047,94.16928100585938,99.13560485839844,100.0,2.8323307037353516,-9.034464786062642,31.285855735723203,aligned_or_anti_aligned,oblique
active_probe_02474,genetic_algorithm,coupled_full_random,A1_S3:oblique;B2_S3:oblique;A3_S3:aligned_or_anti_aligned,1.1600569486618042,24.001314163208008,0.37441641092300415,coverage_limited_sparse_failure,21.62091827392578,0.04187867045402527,47.595947265625,1.729379415512085,1.2000253200531006,69.10124969482422,76.16633605957031,100.0,100.0,3.0,-7.057070738655796,30.03093482240061,aligned_or_anti_aligned,oblique
active_probe_00830,genetic_algorithm,coupled_full_random,A1_S3:oblique;B2_S3:oblique;A3_S3:aligned_or_anti_aligned,1.0787969827651978,23.889123916625977,0.3730623722076416,coverage_limited_sparse_failure,19.206344604492188,0.030586116015911102,46.35762023925781,1.6407743692398071,1.3381526470184326,64.21736907958984,82.69202423095703,100.0,100.0,2.821802854537964,-1.547191843787374,30.030935208181887,aligned_or_anti_aligned,oblique
active_probe_00763,genetic_algorithm,coupled_full_random,A1_S3:oblique;B2_S3:oblique;A3_S3:aligned_or_anti_aligned,1.1191307306289673,23.878976821899414,0.37090274691581726,coverage_limited_sparse_failure,21.18194580078125,0.050059378147125244,49.99558639526367,1.7680447101593018,1.0788307189941406,75.62934875488281,67.2895278930664,100.0,100.0,3.0,3.738943835384873,30.03093482240061,aligned_or_anti_aligned,oblique
