relative_angle_A3_S3_category,n,median_weighted_error,p95_weighted_error,median_nn_distance_12d,p95_nn_distance_12d,coverage_limited_failures,dense_failures,angle_pair
aligned_or_anti_aligned,948,0.07212970405817032,0.3521147668361664,1.0111715197563171,1.17391876578331,360,1,A3_S3
anti_aligned,472,0.0274134436622262,0.0790305595844984,0.7895417213439941,1.1107736825942993,1,0,A3_S3
oblique,1609,0.025906484574079514,0.0731627404689788,0.779859185218811,1.082785439491272,12,0,A3_S3
orthogonal,761,0.0258114542812109,0.0711880624294281,0.773428738117218,1.0610368251800537,1,0,A3_S3
,401,0.025110043585300446,0.08301779627799988,0.7793459296226501,1.094398021697998,9,0,B2_S3
,394,0.025334865786135197,0.06955968327820299,0.7863228619098663,1.0879164755344388,2,0,B2_S3
,2120,0.033081308007240295,0.3356930732727051,0.8286139667034149,1.1407217621803283,347,0,B2_S3
,875,0.02587769366800785,0.09387242645025248,0.7854035496711731,1.080172252655029,16,1,B2_S3
